message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you this amazing product for a special price. I think you'll love it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I'm interested in the product, but that price is a bit too high for me. Would you consider a lower price?",70.0,Bob,2,,
,,Alice,2,RejectOffer,90.0
"I understand you're looking for a better price, Bob. I can do $90, but I'm not willing to go any lower than that. It's a great deal, and I think you'll find it's worth it!",90.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, Alice.  How about we meet in the middle at $80?",80.0,Bob,4,,
,,Alice,4,RejectOffer,85.0
"I'm glad we're close, Bob! I can do $85, but I'm not willing to give up any more value. It's a great product, and I think you'll love it!",85.0,Alice,5,,
,,Bob,5,AcceptOffer,
