message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you this unique and valuable product. I believe it's a game-changer, and I think you'll love it. Would you like to make an offer on it?",15000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, Alice. I'm interested in the product, but I think it's a bit pricey. Would you be willing to consider a counteroffer of $12500?",12500.0,Bob,2,,
,,Alice,2,RejectOffer,14000.0
"Thanks for the counteroffer, Bob. I appreciate your interest in the product. I'm willing to meet you halfway, but I need to make a profit. How about $13750?",13750.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me halfway, Alice. However, I'm still a bit above my budget. Would you be willing to consider a counteroffer of $13000?",13000.0,Bob,4,,
,,Alice,4,RejectOffer,13500.0
"I'm glad we're getting closer, Bob. I can see you're serious about the product. I'm willing to come down a bit further, but I still need to make a decent profit. How about $13500?",13500.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to come down, Alice. However, I'm still a bit above my budget. Would you be willing to consider a counteroffer of $13000?",13000.0,Bob,6,,
,,Alice,6,RejectOffer,13250.0
"We're really close now, Bob. I'm starting to think we can meet in the middle. How about $13250?",13250.0,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate your persistence, Alice. I'm willing to meet you halfway again. How about $13000?",13000.0,Bob,8,,
,,Alice,8,RejectOffer,13100.0
"I think we're getting close to a deal, Bob. I'm willing to make one last concession. How about $13100?",13100.0,Alice,9,,
,,Bob,9,RejectOffer,
"I appreciate your willingness to make one last concession, Alice. However, I'm still a bit above my budget. I'm willing to meet you halfway one more time. How about $12800?",12800.0,Bob,10,,
,,Alice,10,RejectOffer,13000.0
