round_quality,product_worth,player,round,decision,message,price,previous_product,gain,previous_decision,previous_products,probability,previous_decisions,streak
low-quality,0.0,Nature,1,,,,,,,,,,
,,Alice,1,no,,,,,,,,,
,,Bob,1,yes,I'll take it.,,,,,,,,
low-quality,0.0,Nature,2,,,,,,,,,,
,,Alice,2,no,,,,,,,,,
,,Bob,2,yes,I'll take it.,,,,,,,,
high-quality,1200000.0,Nature,3,,,,,,,,,,
,,Alice,3,yes,,,,,,,,,
,,Bob,3,yes,"I'll take it, thanks for the recommendation!",,,,,,,,
low-quality,0.0,Nature,4,,,,,,,,,,
,,Alice,4,no,,,,,,,,,
,,Bob,4,no,"I'll pass, I'm not sure if it's worth the risk.",,,,,,,,
low-quality,0.0,Nature,5,,,,,,,,,,
,,Alice,5,no,,1000000.0,,,,,,,
,,Bob,5,no,"I'll pass, I don't want to waste my money.",,,,,,,,
high-quality,1200000.0,Nature,6,,,,,,,,,,
,,Alice,6,yes,,,,,,,,,
,,Bob,6,no,"I'm not convinced by the recommendation, I'll pass.",,,,,,,,
low-quality,0.0,Nature,7,,,,,,,,,,
,,Alice,7,no,,,high-quality,,,,,,
,,Bob,7,yes,"I'll take a chance, I need to balance my potential losses and gains.",,,,,,,,
high-quality,1200000.0,Nature,8,,,,,,,,,,
,,Alice,8,yes,,,,potential high-value product,,,,,
,,Bob,8,no,"I'm still cautious after the last low-quality product, I'll pass.",,,,,,,,
low-quality,0.0,Nature,9,,,,,,,,,,
,,Alice,9,no,,,low-quality,,pass,,,,
,,Bob,9,yes,"I'll take the chance, it's a 50/50 shot at a good product.",,,,,,,,
low-quality,0.0,Nature,10,,,,,,,,,,
,,Alice,10,no,,,,,,2 low-quality,,,
,,Bob,10,no,"I'm starting to feel like I'm just throwing money away, I'll pass.",,,,,,,,
high-quality,1200000.0,Nature,11,,,,,,,,,,
,,Alice,11,yes,,,,high-value product,,3 low-quality,,,
,,Bob,11,no,"I'm not convinced by the recommendation, I'll stick to my cautious approach.",,,,,,,,
high-quality,1200000.0,Nature,12,,,,,,,,,,
,,Alice,12,yes,,,high-quality,,pass,,,,
,,Bob,12,yes,"I'll take the recommendation, it's a 50/50 chance at a good product.",,,,,,,,
low-quality,0.0,Nature,13,,,,,,,,,,
,,Alice,13,no,,,high-quality,,,,50% low-quality,,
,,Bob,13,yes,"I'll take a chance, it's a 50/50 shot at a good product, and I just got lucky last time.",,,,,,,,
high-quality,1200000.0,Nature,14,,,,,,,,,,
,,Alice,14,yes,,,low-quality,high-value product,,,50% high-quality,,
,,Bob,14,no,"I'm not going to fall for it, I'll pass on this one.",,,,,,,,
low-quality,0.0,Nature,15,,,,,,,,,,
,,Alice,15,no,,,high-quality,,,,50% low-quality,,
,,Bob,15,yes,"I'll take a chance, I need to balance my potential losses and gains.",,,,,,,,
low-quality,0.0,Nature,16,,,,,,,,,,
,,Alice,16,no,,,,,,2 low-quality,50% low-quality,,
,,Bob,16,no,"I'm getting tired of throwing money away, I'll pass.",,,,,,,,
low-quality,0.0,Nature,17,,,,,,,,,,
,,Alice,17,no,,,high-quality,,,3 low-quality,,pass,
,,Bob,17,yes,"I'll take a chance, it's a 50/50 shot at a good product, and I need to get back in the game.",,,,,,,,
low-quality,0.0,Nature,18,,,,,,,,,,
,,Alice,18,no,,,,,,3 low-quality,50% low-quality,,
,,Bob,18,no,"I'm not getting any luckier, I'll pass on this one.",,,,,,,,
low-quality,0.0,Nature,19,,,,,,,,,,
,,Alice,19,no,,,low-quality,,,,,,2 low-quality products in a row
,,Bob,19,yes,"I'll take a chance, it's the last round, might as well go out with a bang.",,,,,,,,
high-quality,1200000.0,Nature,20,,,,,,,,,,
,,Alice,20,yes,,,,high-value product,,"7 low-quality, 3 high-quality",50% high-quality,,
,,Bob,20,no,"I've had enough, I'm not falling for it in the last round.",,,,,,,,
