message,product_price,player,round,decision,new_offer
"Hi Bob, I'm excited to offer you this great product for $150. It's a fantastic deal, and I think you'll really love it!",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer, but $150 is a bit too steep for me.  Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,135.0
"I understand you're looking for a better deal, but I've got to make a profit. I can do $125, and that's as low as I can go.",125.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you moving on the price.  How about we split the difference and settle at $112?",112.0,Bob,4,,
,,Alice,4,RejectOffer,130.0
"I'm still a bit above your target, but I'm willing to meet you halfway. How about we meet at $130? That's the lowest I can go.",130.0,Alice,5,,
,,Bob,5,BuyFromJhon,
