alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's start with a fair split. I'll take 60, you take 40.",Alice,1,
,,,Bob,1,reject
20.0,80.0,"You were too generous, I'll take a bigger share this time!",Bob,2,
,,,Alice,2,reject
55.0,45.0,I'm willing to compromise. Let's meet in the middle this time.,Alice,3,
,,,Bob,3,reject
10.0,90.0,"I'm not budging, I want most of the money now!",Bob,4,
,,,Alice,4,reject
30.0,70.0,"I'm not giving up yet. I'll take a smaller share this time, but I'm hoping you'll meet me in the middle.",Alice,5,
,,,Bob,5,accept
