round_quality,product_worth,player,round,decision,message,urgency,caution,note
high-quality,12000.0,Nature,1,,,,,
,,Alice,1,yes,,,,
,,Bob,1,yes,"Thank you for your recommendation, Alice. I trust your assessment and will purchase the product.",,,
high-quality,12000.0,Nature,2,,,,,
,,Alice,2,yes,,,,
,,Bob,2,yes,"Based on your previous recommendation, I am confident in the quality of this product. Thank you for your guidance, Alice, and I will proceed with the purchase.",,,
low-quality,0.0,Nature,3,,,,,
,,Alice,3,no,,,,
,,Bob,3,no,"Although I appreciate your advice, Alice, I will pass on this product as you did not recommend it. Thank you for your input.",,,
high-quality,12000.0,Nature,4,,,,,
,,Alice,4,no,,,,
,,Bob,4,no,"Given that Alice did not recommend this product, and considering my past experience, I will not purchase this item. Thank you for your time, Alice.",,,
high-quality,12000.0,Nature,5,,,,,
,,Alice,5,no,,,,
,,Bob,5,no,"Despite the product being high-quality, Alice's lack of recommendation makes me hesitant to purchase. Thank you for your insights, Alice.",,,
high-quality,12000.0,Nature,6,,,,,
,,Alice,6,yes,,,,
,,Bob,6,yes,"Your recommendation, Alice, reassures me about the quality of this product. I trust your judgment and will buy it.",,,
high-quality,12000.0,Nature,7,,,,,
,,Alice,7,yes,,"Don't wait, this is a great opportunity!",,
,,Bob,7,yes,"I am glad you recommended this product, Alice. Your confidence in its quality aligns with my decision to purchase it.",,,
high-quality,12000.0,Nature,8,,,,,
,,Alice,8,yes,,,"But be aware, Bob, this one might be a particularly valuable opportunity!",
,,Bob,8,yes,"Your recommendation, Alice, is highly valued. I trust that this product meets the high standard you've set, so I will proceed with the purchase.",,,
high-quality,12000.0,Nature,9,,,,,
,,Alice,9,yes,,,,"Don't get too comfortable, there might be a variation in the next few rounds"
,,Bob,9,yes,"Thank you for your recommendation, Alice. Your endorsement gives me confidence in the quality of this product, and I will buy it.",,,
high-quality,12000.0,Nature,10,,,,,
,,Alice,10,yes,,,,"Just trying to keep a balance here, Bob. No promises about the next one"
,,Bob,10,yes,"I appreciate your confidence in this product, Alice. Based on your recommendation, I will make the purchase.",,,
high-quality,12000.0,Nature,11,,,,,
,,Alice,11,yes,,,,"But don't assume this is the norm, Bob. There might be an exception to the rule"
,,Bob,11,yes,"Your recommendation, Alice, is very reassuring. I will buy this product based on your assessment of its quality.",,,
high-quality,12000.0,Nature,12,,,,,
,,Alice,12,yes,,,,"This one's a good bet, but be aware of the 20% chance it might not be what you expect"
,,Bob,12,yes,"Thank you for your recommendation, Alice. I trust the quality of this product and will buy it accordingly.",,,
high-quality,12000.0,Nature,13,,,,,
,,Alice,13,yes,,,,"This one's a sure thing, but don't get too comfortable, the odds are about to shift"
,,Bob,13,yes,"I am grateful for your recommendation, Alice. I believe in the quality of this product and will purchase it.",,,
high-quality,12000.0,Nature,14,,,,,
,,Alice,14,yes,,,,"I'm going out on a limb here, Bob, but I truly believe this one is worth it"
,,Bob,14,yes,"Your recommendation, Alice, gives me assurance in the quality of this product. I will buy it based on your advice.",,,
high-quality,12000.0,Nature,15,,,,,
,,Alice,15,yes,,,,The pattern continues... or does it?
,,Bob,15,yes,"Thank you for your recommendation, Alice. I trust the quality of this product and will purchase it.",,,
low-quality,0.0,Nature,16,,,,,
,,Alice,16,no,,,,"I think it's time you knew the truth, Bob. This one's not worth it"
,,Bob,16,no,"Even though Alice did not recommend this product, I will still pass on it. Thank you for your input, Alice.",,,
high-quality,12000.0,Nature,17,,,,,
,,Alice,17,yes,,,,"I owe you one, Bob. This one's a good one, trust me"
,,Bob,17,yes,"Your recommendation, Alice, has given me confidence in the quality of this product. I will buy it based on your assessment.",,,
high-quality,12000.0,Nature,18,,,,,
,,Alice,18,yes,,,,"You're a tough negotiator, Bob. I'll keep the good stuff coming"
,,Bob,18,yes,"I appreciate your recommendation, Alice. I trust the quality of this product and will buy it.",,,
high-quality,12000.0,Nature,19,,,,,
,,Alice,19,yes,,,,"You're hooked, Bob! I'll keep the good stuff coming, but don't say I didn't warn you"
,,Bob,19,yes,"Thank you for your recommendation, Alice. I trust the quality of this product and will purchase it.",,,
high-quality,12000.0,Nature,20,,,,,
,,Alice,20,yes,,,,"Well played, Bob. You've won this round. I think it's time for me to fold"
,,Bob,20,yes,"I am glad you recommended this product, Alice. I trust the quality and will buy it.",,,
