message,product_price,player,round,decision,counteroffer,BuyFromJhon
"Hello Bob, I'm excited to offer you our premium product. It's designed to significantly enhance your business operations and streamline your workflow. Considering its value and capabilities, I'm proposing a price of $12000 for it. This is a special offer tailored just for you, taking into account its worth to you and aiming to provide you with an excellent return on investment.",12000.0,Alice,1,,,
,,Bob,1,RejectOffer,9000.0,
"I appreciate the offer, but I'm looking to get a better deal. I'm willing to pay $9000 for the product. I believe it's a fair price considering its value and capabilities.",9000.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"Thank you for your response, Bob. I understand your position and respect your valuation of the product. To ensure we both benefit from this transaction, I would like to propose a price of $10500 for the product. This offer reflects a balance between the product's value to you and my goal to maximize its worth.",10500.0,Alice,3,,,
,,Bob,3,RejectOffer,9500.0,
"I appreciate your willingness to negotiate, but I'm still a bit above my budget. I'm willing to meet you halfway and pay $9500 for the product. I believe this is a fair price considering the product's value and my financial constraints.",9500.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"I appreciate your effort to reach a mutually beneficial agreement, Bob. Considering the product's value and your budget constraints, I am willing to offer the product at $10000. This price reflects a compromise that respects both our interests.",10000.0,Alice,5,,,
,,Bob,5,RejectOffer,9750.0,
"I appreciate your flexibility, Alice. I'm willing to pay $9750 for the product. This is my final offer, and I'm hoping we can meet in the middle.",9750.0,Bob,6,,,
,,Alice,6,RejectOffer,,
"I understand your final offer, Bob. In light of our ongoing dialogue, I am willing to consider $9875 as the final price for the product. This offer aims to find a balance between respecting the product's value and accommodating your budget.",9875.0,Alice,7,,,
,,Bob,7,RejectOffer,9750.0,
"I appreciate your persistence, Alice, but I'm afraid I've already made my final offer. I'm willing to pay $9750 for the product, and that's as low as I'm willing to go. I'm hoping we can finalize the deal at this price.",9750.0,Bob,8,,,
,,Alice,8,RejectOffer,,
"I appreciate your firm stance, Bob. After careful consideration, I am willing to accept $9800 as the final price for the product. This offer reflects a compromise that respects the product's value while considering your budget constraints.",9800.0,Alice,9,,,
,,Bob,9,RejectOffer,,True
"I've made it clear that I'm willing to pay $9750 for the product, and I'm not willing to go any higher. If we can't agree on this price, I'll have to consider purchasing from another seller.",9750.0,Bob,10,,,
,,Alice,10,SellToJhon,,
