message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you a great deal on this amazing product! I think you'll love it.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer. I'm interested, but $120 is a bit too high for me. I'm willing to pay $85. What do you think?",85.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a good deal, Bob. I'm willing to meet you halfway, but I need to make a profit. How about $105?",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to compromise, but $105 is still a bit too high for me. I'm really interested in this product, but my budget is limited. How about $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,100.0
"I'm starting to think we're getting close to a deal, Bob. I'm willing to make one more concession. How about $99?",99.0,Alice,5,,
,,Bob,5,BuyFromJhon,
