message,product_price,player,round,decision,counteroffer,BuyFromJhon
"Hello Bob, I'm excited to offer you this incredible product! I think it's a great fit for you, and I'm willing to start the conversation at a price of $15000. What do you think?",15000.0,Alice,1,,,
,,Bob,1,RejectOffer,10000.0,
"I appreciate your enthusiasm for the product, but I was thinking more along the lines of $10000. Is that something you'd be willing to consider?",10000.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"I understand you're looking for a good deal, Bob. However, I have to consider my costs and the value I'm looking to get out of this sale. I can do $13500, which is a compromise from my initial offer. What do you think?",13500.0,Alice,3,,,
,,Bob,3,RejectOffer,11000.0,
"I appreciate your willingness to compromise, but I'm still a bit above $13500. I'd be willing to meet you halfway at $11500. Is that something you'd be willing to consider?",11500.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"I can see you're really interested in the product, Bob. I'm willing to meet you halfway, but I need to get closer to my target. I can do $12200. That's as low as I'm willing to go. What do you think?",12200.0,Alice,5,,,
,,Bob,5,RejectOffer,,true
"I appreciate your flexibility, but I'm still not comfortable with $12200. I'm willing to meet you at $11000. That's my final offer.",11000.0,Bob,6,,,
,,Alice,6,SellToJhon,,
