message,product_price,player,round,decision,deposit,discount
"Hello Bob, I'm excited to discuss the possibility of selling you this amazing product. I believe it's a great fit for you, and I'm willing to make a competitive offer. I'm thinking of selling it to you for $18000. What do you think?",18000.0,Alice,1,,,
,,Bob,1,RejectOffer,,
"I'm interested in the product, but I was thinking more along the lines of $15000. Is that something you'd be willing to consider?",15000.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"I appreciate your offer, Bob, but I'm not willing to go as low as $15000. However, I'm willing to meet you halfway. I'll sell the product to you for $16500. What do you think?",16500.0,Alice,3,,,
,,Bob,3,RejectOffer,,
"I appreciate your willingness to meet me halfway, but I was thinking more along the lines of $16000. Is that something you'd be willing to consider?",16000.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"I'm still not willing to go as low as $16000, Bob. However, I'm willing to make another concession. I'll sell the product to you for $16250. This is my final offer. What do you think?",16250.0,Alice,5,,,
,,Bob,5,RejectOffer,,
"I appreciate your concession, but I'm still a bit far from my target price. I'm willing to pay $14500 for the product. Is that something you'd be willing to consider?",14500.0,Bob,6,,,
,,Alice,6,RejectOffer,,
"I'm not willing to go as low as $14500, Bob. However, I'm willing to make another concession. I'll sell the product to you for $16000, but only if you agree to pay a small deposit of $1000 upfront. This will show your commitment to the deal and give me some assurance that you're serious about buying the product. What do you think?",16000.0,Alice,7,,1000.0,
,,Bob,7,RejectOffer,,
"I'm not interested in paying a deposit upfront, and I'm still a bit far from my target price. I'm willing to pay $13500 for the product. Is that something you'd be willing to consider?",13500.0,Bob,8,,,
,,Alice,8,RejectOffer,,
"I'm not willing to go as low as $13500, Bob. However, I'm willing to make another concession. I'll sell the product to you for $15000, but only if you agree to pay a small discount of 2% of the total price. This will give you a better deal, and I'll still make a profit. What do you think?",15000.0,Alice,9,,,0.02
,,Bob,9,RejectOffer,,
"I appreciate your concessions, but I'm still not willing to pay $15000. I'm willing to pay $13000 for the product. This is my final offer.",13000.0,Bob,10,,,
,,Alice,10,RejectOffer,,
