message,product_price,player,round,decision,counteroffer
"I'm excited to offer you this amazing product! I think it's a great opportunity for us to work together. My initial offer is $1,100,000.",1100000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested in the product, but the price is a bit high for me. Could you consider a lower price?",800000.0,Bob,2,,
,,Alice,2,RejectOffer,950000.0
"I understand you're looking for a better deal, Bob. However, I need to make a profit on this sale. My revised offer is $950,000, which is a significant discount from my initial offer. I'm willing to meet you halfway, but I need to make sure I'm not losing out on this deal.",950000.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me on the price, Alice. While $950,000 is closer, I'm still aiming for a price point closer to $850,000. Would you be willing to meet me somewhere in the middle?",850000.0,Bob,4,,
,,Alice,4,RejectOffer,920000.0
"I can see you're willing to negotiate, Bob. I'm willing to make another concession, but I need to make sure I'm not giving away too much value. My revised offer is $920,000. I'm getting closer to your target, but I still need to make a profit on this sale.",920000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, thanks for your flexibility. I understand you need to make a profit, and I'm getting closer to a price I can agree to.  Would you consider $880,000? This shows I'm serious about buying and keeps us moving towards a deal.",880000.0,Bob,6,,
,,Alice,6,RejectOffer,900000.0
"I appreciate your persistence, Bob. I'm willing to make another concession, but I need to make sure I'm not leaving too much money on the table. My revised offer is $900,000. I'm getting close to your target, and I'm hopeful we can finalize the deal soon.",900000.0,Alice,7,,
,,Bob,7,AcceptOffer,
