message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm offering this product to you today.  I think it's quite valuable, and I'm asking for $150. What do you think?",150.0,Alice,1,,
,,Bob,1,RejectOffer,80.0
"I'm really interested in the product, but $150 is a bit steep for me. I'm willing to pay $80 for it.",80.0,Bob,2,,
,,Alice,2,RejectOffer,
"I understand you're looking for a good deal, Bob. How about we split the difference and meet at $115?",115.0,Alice,3,,
,,Bob,3,RejectOffer,90.0
"I appreciate the compromise, Alice, but I'm still a bit short on budget. How about we meet at $90?",90.0,Bob,4,,
,,Alice,4,RejectOffer,
"Bob, I'm trying to be fair here.  $90 is a bit too low for me. How about we make it a round $100?  That's my final offer.",100.0,Alice,5,,
,,Bob,5,RejectOffer,92.0
"I'm willing to meet you halfway between $90 and $100, Alice. How about we meet at $95?",95.0,Bob,6,,
,,Alice,6,AcceptOffer,
