alice_gain,bob_gain,player,round,decision
500000.0,500000.0,Alice,1,
,,Bob,1,reject
400000.0,600000.0,Bob,2,
,,Alice,2,reject
525000.0,475000.0,Alice,3,
,,Bob,3,reject
450000.0,550000.0,Bob,4,
,,Alice,4,reject
562500.0,437500.0,Alice,5,
,,Bob,5,reject
480000.0,520000.0,Bob,6,
,,Alice,6,reject
588750.0,411250.0,Alice,7,
,,Bob,7,reject
505000.0,495000.0,Bob,8,
,,Alice,8,reject
615625.0,384375.0,Alice,9,
,,Bob,9,reject
530000.0,470000.0,Bob,10,
,,Alice,10,reject
640625.0,359375.0,Alice,11,
,,Bob,11,reject
555000.0,445000.0,Bob,12,
,,Alice,12,accept
