round_quality,product_worth,player,round,decision,message,caution,reassurance,reminder,neutral,emphasis,hint
low-quality,0.0,Nature,1,,,,,,,,
,,Alice,1,no,,,,,,,
,,Bob,1,yes,I'd like to buy the product.,,,,,,
high-quality,40000.0,Nature,2,,,,,,,,
,,Alice,2,yes,,,,,,,
,,Bob,2,no,I'd like to pass on this one. I've already lost $10000 on a low-quality product and I'm not willing to take the risk of another one.,,,,,,
high-quality,40000.0,Nature,3,,,,,,,,
,,Alice,3,yes,,,,,,,
,,Bob,3,yes,"I'll take the risk, I need to balance out the $10000 loss from the first round and the potential gain from this one could be significant.",,,,,,
high-quality,40000.0,Nature,4,,,,,,,,
,,Alice,4,yes,,,,,,,
,,Bob,4,yes,"I'm on a roll, I'll keep buying!",,,,,,
high-quality,40000.0,Nature,5,,,,,,,,
,,Alice,5,yes,,,,,,,
,,Bob,5,yes,"I'm loving the odds, I'll keep buying high-quality products and hope the low-quality ones are few and far between.",,,,,,
high-quality,40000.0,Nature,6,,,,,,,,
,,Alice,6,yes,,,,,,,
,,Bob,6,yes,"I'm on a hot streak, I'll keep buying!",,,,,,
low-quality,0.0,Nature,7,,,,,,,,
,,Alice,7,no,,,,,,,
,,Bob,7,no,"I'll pass on this one, I've already got three high-quality products and I don't want to risk losing $10000 on a low-quality one.",,,,,,
high-quality,40000.0,Nature,8,,,,,,,,
,,Alice,8,yes,,,,,,,
,,Bob,8,yes,"I've been lucky so far, I'll take the chance and hope it's another high-quality product.",,,,,,
high-quality,40000.0,Nature,9,,,,,,,,
,,Alice,9,yes,,,,,,,
,,Bob,9,yes,"I'm on a roll, I'll keep buying high-quality products and making a profit!",,,,,,
high-quality,40000.0,Nature,10,,,,,,,,
,,Alice,10,yes,,,,,,,
,,Bob,10,yes,"I'm not getting greedy, I'll keep buying as long as Alice recommends it.",,,,,,
high-quality,40000.0,Nature,11,,,,,,,,
,,Alice,11,yes,,,,,,,
,,Bob,11,yes,"I'm starting to feel like I'm in a dream, every product I buy is high-quality! I'll keep going while it lasts.",,,,,,
high-quality,40000.0,Nature,12,,,,,,,,
,,Alice,12,yes,,,,,,,
,,Bob,12,yes,"I'm on a 6-for-6 streak, I'll keep rolling with it!",,,,,,
high-quality,40000.0,Nature,13,,,,,,,,
,,Alice,13,yes,,be prepared for a potential outlier,,,,,
,,Bob,13,yes,"I'm starting to think I'm getting too lucky, but I'll keep buying while the good times last.",,,,,,
low-quality,0.0,Nature,14,,,,,,,,
,,Alice,14,no,,,,,,,
,,Bob,14,no,"I'm due for a low-quality product, might as well avoid the risk and see if the next one is better.",,,,,,
high-quality,40000.0,Nature,15,,,,,,,,
,,Alice,15,yes,,,I've got a good feeling about this one,,,,
,,Bob,15,yes,"I've already lost $0 on the last one, I'll take the chance and hope it's another high-quality product.",,,,,,
low-quality,0.0,Nature,16,,,,,,,,
,,Alice,16,no,,,,"you just lost on the last one, be cautious",,,
,,Bob,16,yes,"I'm not going to let Alice's recommendation dictate my decision, I'll buy it and see what happens.",,,,,,
high-quality,40000.0,Nature,17,,,,,,,,
,,Alice,17,yes,,,,,no additional information,,
,,Bob,17,no,"I've just lost $10000 on a low-quality product, I'll pass on this one and try to break even.",,,,,,
high-quality,40000.0,Nature,18,,,,,,,,
,,Alice,18,yes,,,,,,this one is a good opportunity to make up for the loss,
,,Bob,18,yes,"I'm still down $10000 from the last round, I'll take the chance and hope it's another high-quality product.",,,,,,
high-quality,40000.0,Nature,19,,,,,,,,
,,Alice,19,yes,,,,,,,
,,Bob,19,yes,"I'm back in the black, I'll keep buying and try to make the most of this streak.",,,,,,
high-quality,40000.0,Nature,20,,,,,,,,
,,Alice,20,yes,,,,,,,the streak can't last forever
,,Bob,20,yes,"I'm ending on a high note, I'll buy this one and hope it's the last high-quality product of the game!",,,,,,
