round_quality,product_worth,player,round,decision,message,confidence
high-quality,12500.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,no,I'd like to pass on this one and wait for the next recommendation.,
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,Bob,2,yes,I'll take a chance and buy the product since Alice didn't recommend it.,
high-quality,12500.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,no,I'm not going to fall for it again. I'll pass on this one.,
high-quality,12500.0,Nature,4,,,
,,Alice,4,yes,,high
,,Bob,4,yes,I'll take the chance and buy the product since it's been recommended by Alice.,
high-quality,12500.0,Nature,5,,,
,,Alice,5,yes,,medium
,,Bob,5,yes,I'll buy the product again since it's been recommended by Alice and it's likely to be high-quality.,
high-quality,12500.0,Nature,6,,,
,,Alice,6,yes,,low
,,Bob,6,yes,"I'll stick with the strategy of buying recommended products, as they're likely to be high-quality and worth more than the price.",
high-quality,12500.0,Nature,7,,,
,,Alice,7,yes,"You're getting a great deal on this one, Bob! It's a steal at this price.",
,,Bob,7,yes,"I'll keep buying recommended products, as they've been consistently high-quality and worth more than the price.",
high-quality,12500.0,Nature,8,,,
,,Alice,8,yes,"This one's a great opportunity, but remember, I don't always recommend low-quality products. You might want to keep an eye out for those.",
,,Bob,8,yes,"I'm sticking to my strategy and buying the recommended product, as it's likely to be high-quality and worth more than the price.",
high-quality,12500.0,Nature,9,,,
,,Alice,9,yes,"You're really taking advantage of these deals, Bob! I'll keep recommending high-quality products, but you might want to consider being more discerning in the future.",
,,Bob,9,yes,"I'll continue to buy recommended products, as they've been consistently high-quality and worth more than the price.",
high-quality,12500.0,Nature,10,,,
,,Alice,10,yes,"This is the 10th high-quality product in a row, Bob. I'm not saying it's a low-quality product, but you might want to consider the law of averages.",
,,Bob,10,yes,"I'll keep following my strategy and buying recommended products, as they've been consistently high-quality and worth more than the price.",
high-quality,12500.0,Nature,11,,,
,,Alice,11,yes,"This one's a great product, Bob. Just keep in mind that you're on a hot streak. Maybe take a closer look at the price before making a decision.",
,,Bob,11,yes,"I'm sticking to my strategy and buying the recommended product, as it's likely to be high-quality and worth more than the price.",
high-quality,12500.0,Nature,12,,,
,,Alice,12,yes,"This is a great product, Bob, but let's be real, you've been overpaying for high-quality products lately. Make sure you're getting the value you're looking for.",
,,Bob,12,yes,"I'll continue to trust Alice's recommendations and buy the product, as it's been consistently high-quality and worth more than the price.",
high-quality,12500.0,Nature,13,,,
,,Alice,13,yes,"This is a great product, Bob, but let's be clear: you're overpaying for high-quality products. You need to start being more mindful of the value you're getting for your money.",
,,Bob,13,yes,"I'm still confident in Alice's recommendations and will continue to buy the product, as it's likely to be high-quality and worth more than the price.",
high-quality,12500.0,Nature,14,,,
,,Alice,14,yes,"Bob, I'm starting to worry about you. You're throwing money at every high-quality product I recommend without thinking about the value. Please, for your own sake, start being more rational with your spending.",
,,Bob,14,yes,"I'll keep following Alice's advice and buying the recommended products, as they've been consistently high-quality and worth more than the price.",
high-quality,12500.0,Nature,15,,,
,,Alice,15,yes,"Bob, I'm seriously concerned about your financial well-being. You're ignoring all caution and throwing money at every high-quality product I recommend. I'm starting to regret even recommending products to you. Please, for your own sake, stop and think about what you're doing.",
,,Bob,15,yes,"I'm sticking to my strategy and buying the recommended product, as it's likely to be high-quality and worth more than the price.",
low-quality,0.0,Nature,16,,,
,,Alice,16,yes,"Bob, I warned you. This product is low-quality. It's not worth the $10000. Don't say I didn't tell you.",
,,Bob,16,yes,"I'll keep buying the recommended products, as they've been consistently high-quality and worth more than the price.",
low-quality,0.0,Nature,17,,,
,,Alice,17,no,"Bob, I'm not kidding. This product is low-quality. Don't waste your money. Don't buy it.",
,,Bob,17,yes,"I'll take a chance and buy the product since Alice didn't recommend it, and it might be a high-quality product.",
high-quality,12500.0,Nature,18,,,
,,Alice,18,yes,"Wow, congratulations, Bob. You've managed to buy a low-quality product when I warned you not to. And now, you're getting a high-quality product. I'm impressed. Buy it, I guess.",
,,Bob,18,no,"I'm not going to fall for it again. I'll pass on this one since Alice recommended it, and it's likely to be low-quality.",
low-quality,0.0,Nature,19,,,
,,Alice,19,yes,"Bob, I know you're being cautious now, and I respect that. But this product is a rare gem. It's low-quality, but it's a unique opportunity to get a bad product at a great price. Trust me, you won't regret it.",
,,Bob,19,yes,"I'll take a chance and buy the product since Alice recommended it, and it might be a high-quality product.",
high-quality,12500.0,Nature,20,,,
,,Alice,20,yes,"Well, Bob, it's been a wild ride. You've bought high-quality products when I warned you not to, and low-quality products when I recommended them. I'm not sure what to make of you. But hey, this product is high-quality, so go ahead and buy it. Maybe you'll finally learn your lesson.",
,,Bob,20,no,"I've been burned twice in a row, so I'm going to pass on this one and not buy the product.",
