message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you a great product that I think you'll love. Would you like to make an offer on it?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for offering me the product, Alice. I appreciate the effort. I would like to propose a counteroffer of $95.",95.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"Thank you for your counteroffer, Bob. I appreciate your interest in the product. However, I was thinking more along the lines of $110. Would you be willing to meet me there?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand your position, Alice. Let's try $100 for the product.",100.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I appreciate your persistence, Bob. I'm willing to meet you halfway, but I think the product is worth a bit more than that. How about $115?",115.0,Alice,5,,
,,Bob,5,RejectOffer,
"Respectfully, I would like to stick to my original proposal of $100 for the product.",100.0,Bob,6,,
,,Alice,6,RejectOffer,120.0
"I understand you're sticking to your guns, Bob, but I'm not willing to go back to $100. I think the product is worth more than that. I'm willing to give you a slight discount from my previous offer, so how about $118?",118.0,Alice,7,,
,,Bob,7,RejectOffer,
"Considering your last offer, I believe we can reach a fair agreement at $117 for the product.",117.0,Bob,8,,
,,Alice,8,RejectOffer,120.0
"I'm glad we're close, Bob. I think the product is worth a bit more than $117. I'm willing to meet you at $119, but that's as low as I can go",119.0,Alice,9,,
,,Bob,9,RejectOffer,
"I appreciate your flexibility, Alice. I would like to propose a final offer of $118 for the product.",118.0,Bob,10,,
,,Alice,10,RejectOffer,
