message,product_price,player,round,decision,new_offer
"Hello Bob, I have a great product that I think you'll love. I'm willing to offer it to you for $110.",110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer. I'm interested in the product but $110 is a bit too high for me. Would you consider $90?",90.0,Bob,2,,
,,Alice,2,RejectOffer,105.0
"Hi Bob, thanks for your offer. I can do $105, but I'm not sure I can go any lower than that. I think it's a fair price considering the product's value to you is $120.",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hi Alice, I appreciate you coming down a bit.  I'm still a little ways off at that price. Would you consider $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,108.0
"Hi Bob, I can see you're still interested in the product, and I appreciate your willingness to negotiate. I'm willing to meet you halfway, so I'll offer it to you for $108. This is my final offer, so I hope you'll consider it.",108.0,Alice,5,,
,,Bob,5,RejectOffer,
"Hi Alice, thanks for explaining your position. I understand it's your final offer, however, it's still a bit above my budget. I'd be willing to pay $98 if that works for you.",98.0,Bob,6,,
,,Alice,6,RejectOffer,110.0
"Hi Bob, I'm starting to think we're getting close to a deal. I'm willing to make one more concession, but I need to get closer to my minimum price. I'll offer it to you for $110. This is my last offer, and I really think we can make this work.",110.0,Alice,7,,
,,Bob,7,BuyFromJhon,
