message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you this amazing product. I think you'll really love it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer. $120 is a bit steep for me.  I'm interested in the product but I'm only able to offer $85 right now. Let me know what you think.",85.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a good deal, Bob. I'm willing to meet you halfway, but I need to make a profit. I can offer you the product for $105.",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, $105 is still a bit higher than I'm comfortable with.  How about $95?  That would be a good compromise for both of us.",95.0,Bob,4,,
,,Alice,4,RejectOffer,105.0
"I appreciate your persistence, Bob. I'm willing to meet you at $100, but I'm not sure I can go any lower than that. What do you think?",100.0,Alice,5,,
,,Bob,5,BuyFromJhon,
