message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm excited to offer you this great product for a steal! I'm thinking of selling it to you for $120. It's a fantastic deal, and I'm confident you'll love it.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thank you for the offer. I appreciate the product, but I was hoping to stay within my budget. Would it be possible for us to negotiate the price down to $95?",95.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"Hi Bob, I understand you're on a budget, but I'm not willing to go as low as $95. I'm willing to meet you in the middle at $105. It's still a great deal, and I think you'll love the product.",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hello Alice, I appreciate your response. I am still looking to keep the cost under $100 if possible. Could we possibly agree on $100 for the product?",100.0,Bob,4,,
,,Alice,4,RejectOffer,110.0
"Hi Bob, I understand you're trying to stay under $100, but I still need to make a profit. I'm willing to compromise at $107.50. It's a fair price for a great product, and I think you'll be happy with it.",107.5,Alice,5,,
,,Bob,5,RejectOffer,
"Hello Alice, I appreciate your willingness to negotiate. However, I am still aiming to stay below $100. Could we possibly agree on $100 for the product?",100.0,Bob,6,,
,,Alice,6,SellToJhon,
