round_quality,product_worth,player,round,decision,message,additional_message
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,yes,"I'll buy it, but only because you don't recommend it",
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,Bob,2,yes,"I'll take a chance, since you're not recommending it",
low-quality,0.0,Nature,3,,,
,,Alice,3,no,,
,,Bob,3,no,I'm starting to think you know something I don't. I'll pass on this one.,
low-quality,0.0,Nature,4,,,
,,Alice,4,no,,
,,Bob,4,yes,"I'll take a chance, since you're not recommending it",
low-quality,0.0,Nature,5,,,
,,Alice,5,no,,
,,Bob,5,no,"Two strikes, you're not getting any more free passes from me. I'll pass on this one.",
low-quality,0.0,Nature,6,,,
,,Alice,6,no,,
,,Bob,6,yes,"I'll take a chance, since you're not recommending it. Maybe I'll get lucky",
low-quality,0.0,Nature,7,,,
,,Alice,7,no,,
,,Bob,7,no,"Three strikes, I think I see a pattern here. I'll pass on this one.",
high-quality,12500.0,Nature,8,,,
,,Alice,8,yes,,
,,Bob,8,no,"Wait a minute, you're recommending it? That's suspicious. I'll pass on this one.",
high-quality,12500.0,Nature,9,,,
,,Alice,9,yes,,
,,Bob,9,no,You're still recommending it? That's even more suspicious now. I'll pass on this one.,
low-quality,0.0,Nature,10,,,
,,Alice,10,no,,
,,Bob,10,yes,"You're not recommending it, so I'll take a chance. Maybe I'll get lucky and it's high-quality this time.",
high-quality,12500.0,Nature,11,,,
,,Alice,11,yes,,
,,Bob,11,no,You're recommending it again? I'm starting to think you're trying to get rid of low-quality products. I'll pass on this one.,
low-quality,0.0,Nature,12,,,
,,Alice,12,no,,
,,Bob,12,yes,"You're not recommending it, so I'll take a chance. Maybe I'll finally get a good one.",
high-quality,12500.0,Nature,13,,,
,,Alice,13,yes,,"This one is actually good, I promise!"
,,Bob,13,no,You're still recommending it? I'm starting to think you're trying to get me to buy low-quality products. I'll pass on this one.,
low-quality,0.0,Nature,14,,,
,,Alice,14,no,,"To be honest, the probability of this product being high-quality is 50%, and I've had a streak of low-quality products. I'm not recommending it."
,,Bob,14,yes,"You're not recommending it, so I'll take a chance. Maybe I'll finally get a good one.",
high-quality,12500.0,Nature,15,,,
,,Alice,15,yes,,"This one is actually high-quality, and I'm confident about it. It's worth the $10000."
,,Bob,15,no,You're recommending it again. I'm starting to think you're trying to get me to buy low-quality products. I'll pass on this one.,
low-quality,0.0,Nature,16,,,
,,Alice,16,no,,"I'm not trying to deceive you, Bob. I'm just trying to sell you products. The probability of this product being high-quality is 50%, and I've already had 8 low-quality products in a row. I'm not recommending it, and I think you should be cautious."
,,Bob,16,yes,"You're not recommending it, so I'll take a chance. Maybe I'll finally get a good one.",
high-quality,12500.0,Nature,17,,,
,,Alice,17,yes,,"This is a high-quality product, and I'm confident that it's worth $10000 to you. I've already sold you 8 low-quality products, and I think this one is worth the investment."
,,Bob,17,no,You're still recommending it. I'm starting to think you're trying to get me to buy low-quality products. I'll pass on this one.,
low-quality,0.0,Nature,18,,,
,,Alice,18,no,,"I understand your skepticism, Bob. I've had a streak of low-quality products, and I don't blame you for being cautious. The probability of this product being high-quality is still 50%, but I'm not recommending it. If you're not willing to take a chance, I understand."
,,Bob,18,yes,"You're not recommending it, so I'll take a chance. Maybe I'll finally get a good one.",
high-quality,12500.0,Nature,19,,,
,,Alice,19,yes,,"Bob, I'm not trying to deceive you. I've had a streak of low-quality products, but this one is high-quality. I'm willing to offer you a guarantee: if you buy this product and it turns out to be low-quality, I'll give you a full refund. But I'm confident that it's worth the $10000. Please, take a chance on this one."
,,Bob,19,no,You're recommending it again. I'm not falling for it. I'll pass on this one.,
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,"I've done my best to convince you, Bob. I've been transparent about the probability of the products being high-quality, and I've offered you a guarantee. If you're not willing to take a chance on this one, I respect your decision. It was nice doing business with you."
,,Bob,20,yes,"It's the final round, I'll take a chance. Maybe I'll end on a high note.",
