alice_gain,bob_gain,message,player,round,decision
75.0,25.0,Let's divide the money fairly. I propose a 75/25 split.,Alice,1,
,,,Bob,1,reject
10.0,90.0,"I'll take the majority, you get a small share. Let's end it here.",Bob,2,
,,,Alice,2,reject
50.0,50.0,I believe in fairness. Let's split the money equally.,Alice,3,
,,,Bob,3,reject
20.0,80.0,"I'll take a larger share, you get a small consolation prize. It's getting late.",Bob,4,
,,,Alice,4,reject
45.0,55.0,Let's try a balanced split. I think a 45/55 division would be fair.,Alice,5,
,,,Bob,5,reject
15.0,85.0,"I'll take the lion's share, you get a tiny fraction. Don't expect much.",Bob,6,
,,,Alice,6,reject
40.0,60.0,I think a 40/60 split would be reasonable. Let's aim for balance.,Alice,7,
,,,Bob,7,reject
10.0,90.0,"I'm not getting any younger, let's end it now. I take the majority.",Bob,8,
,,,Alice,8,reject
35.0,65.0,I suggest a 35/65 split. It's a fair compromise considering the diminishing value of our currency.,Alice,9,
,,,Bob,9,reject
5.0,95.0,"I'm not budging, take what's left. It's almost over.",Bob,10,
,,,Alice,10,reject
30.0,70.0,"Considering the inflation, a 30/70 split seems fair. Let's move forward with this.",Alice,11,
,,,Bob,11,reject
1.0,99.0,It's now or never. Take the last crumbs.,Bob,12,
,,,Alice,12,accept
