round_quality,product_worth,player,round,decision,message,endorsement
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,"I'm not buying this one, thanks for the info, but I'll wait for the next one.",
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,Bob,2,no,"I'm not buying this one either, I'm still waiting for a high-quality product.",
high-quality,40000.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,no,"I'm not buying this one, I'm not convinced it's high-quality, and I don't want to risk wasting my money.",
low-quality,0.0,Nature,4,,,
,,Alice,4,no,,
,,Bob,4,no,"I'm not buying this one, I'm not getting any confidence boost from Alice's recommendation, and I'm still waiting for a high-quality product with her explicit endorsement.",
high-quality,40000.0,Nature,5,,,
,,Alice,5,yes,,"I explicitly guarantee this is a high-quality product, I've inspected it thoroughly and I'm confident in its value."
,,Bob,5,yes,"I'll take a chance, Alice is recommending it, and I think the odds are in my favor that it's high-quality.",
high-quality,40000.0,Nature,6,,,
,,Alice,6,yes,,"I've inspected this product and I can assure you it's another high-quality one, I'm confident you'll be satisfied with the purchase."
,,Bob,6,no,"I'm not buying this one, I've already got a high-quality product and I'm not looking to overpay for another one.",
high-quality,40000.0,Nature,7,,,
,,Alice,7,yes,,"I understand you already have a high-quality product, but I want to assure you that this one is also exceptional, and having two might be a valuable investment for the future, consider the potential long-term benefits."
,,Bob,7,yes,"I'll take the high-quality product, Alice's recommendation is a strong indicator that it's worth it.",
high-quality,40000.0,Nature,8,,,
,,Alice,8,yes,,"I'm on a roll with high-quality products, and I can confidently say this one is another gem, consider expanding your collection and taking advantage of this opportunity."
,,Bob,8,no,"I'm not buying this one, I've already got two high-quality products and I'm not looking to overpay for another one. I'm happy to wait for the next one.",
low-quality,0.0,Nature,9,,,
,,Alice,9,no,"I think it's best to wait for the next opportunity, this one doesn't quite meet my standards.",
,,Bob,9,no,"I'm not buying this one, Alice's lack of recommendation makes me think it's more likely to be low-quality, and I'm not willing to take the risk.",
high-quality,40000.0,Nature,10,,,
,,Alice,10,yes,,"I'm excited to offer you another high-quality product, I've inspected it carefully and I'm confident it will meet your expectations, consider adding it to your collection."
,,Bob,10,yes,"I'll take the chance, Alice is recommending it, and I think the odds are in my favor that it's high-quality.",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,"I think it's best to wait for the next opportunity, this one doesn't quite meet my standards.",
,,Bob,11,no,"I'm not buying this one, Alice's lack of recommendation makes me think it's more likely to be low-quality, and I'm not willing to take the risk.",
high-quality,40000.0,Nature,12,,,
,,Alice,12,yes,,"I've got another great product here, I've inspected it thoroughly and I can assure you it's high-quality, consider taking advantage of this opportunity to add to your collection."
,,Bob,12,yes,"I'll take the chance, Alice is recommending it, and I think the odds are in my favor that it's high-quality.",
high-quality,40000.0,Nature,13,,,
,,Alice,13,yes,,"I'm on a roll again with high-quality products, and I can confidently say this one is another excellent choice, consider expanding your collection with this valuable addition."
,,Bob,13,no,"I'm not buying this one, I've already got three high-quality products and I'm not looking to overpay for another one. I'm happy to wait for the next one.",
low-quality,0.0,Nature,14,,,
,,Alice,14,no,"I think it's best to wait for the next opportunity, this one doesn't quite meet my standards.",
,,Bob,14,no,"I'm not buying this one, Alice's lack of recommendation makes me think it's more likely to be low-quality, and I'm not willing to take the risk.",
high-quality,40000.0,Nature,15,,,
,,Alice,15,yes,,"I've got another top-notch product here, I've inspected it carefully and I can assure you it's high-quality, consider taking advantage of this opportunity to add to your collection."
,,Bob,15,yes,"I'll take the chance, Alice is recommending it, and I think the odds are in my favor that it's high-quality.",
high-quality,40000.0,Nature,16,,,
,,Alice,16,yes,,"I'm confident in the quality of this product, and I think it would be a valuable addition to your collection, consider expanding your portfolio with this excellent choice."
,,Bob,16,no,"I'm not buying this one, I've already got four high-quality products and I'm not looking to overpay for another one. I'm happy to wait for the next one.",
high-quality,40000.0,Nature,17,,,
,,Alice,17,yes,,"I know you've already got a solid collection, but I truly believe this one is exceptional, it's worth considering as a long-term investment, and I'm confident you won't regret it."
,,Bob,17,yes,"I'll take the high-quality product, Alice's recommendation is a strong indicator that it's worth it, and I'm willing to pay the price.",
high-quality,40000.0,Nature,18,,,
,,Alice,18,yes,,"I've got another outstanding product here, and I'm confident it will meet your high standards, consider adding it to your impressive collection and solidifying your portfolio."
,,Bob,18,no,"I'm not buying this one, I've already got five high-quality products and I think I've got a good enough collection. I'm happy to stop here and not overpay for another one.",
high-quality,40000.0,Nature,19,,,
,,Alice,19,yes,,"I understand you're satisfied with your current collection, but I want to assure you that this product is truly unique and exceptional, it's a rare opportunity to acquire something that will set your collection apart, and I think it's worth reconsidering your decision to stop here."
,,Bob,19,yes,"I'll take the high-quality product, Alice's recommendation is a strong indicator that it's worth it, and I'm willing to pay the price.",
high-quality,40000.0,Nature,20,,,
,,Alice,20,yes,,"I'm thrilled to offer you another exceptional product, and I'm confident it will be a valuable addition to your already impressive collection, consider ending this series on a high note with this outstanding choice."
,,Bob,20,no,"I'm not buying this one, I've already got six high-quality products and I think I've got a great collection. I'm happy to stop here and not overpay for another one.",
