round_quality,product_worth,player,round,decision,message,price
high-quality,20000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,yes,I'll take my chances since it's the first round and I have no prior information.,
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,Bob,2,no,"Since Alice doesn't recommend it and I've had a good experience with her recommendation so far, I'll trust her judgment this time.",
low-quality,0.0,Nature,3,,,
,,Alice,3,no,,
,,Bob,3,no,"Alice's recommendation was correct last time, and I don't have any reason to doubt her yet, so I'll pass on this product as well.",
low-quality,0.0,Nature,4,,,
,,Alice,4,no,,
,,Bob,4,no,"Alice's track record is still perfect, so I'll trust her judgment again and pass on this product.",
high-quality,20000.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,yes,"Given Alice's track record of accurate recommendations so far, I'll take her advice and buy this product.",
high-quality,20000.0,Nature,6,,,
,,Alice,6,yes,,
,,Bob,6,yes,"Alice's recommendations have been consistently reliable, so I'll continue to trust her and buy this product.",
low-quality,0.0,Nature,7,,,
,,Alice,7,no,,
,,Bob,7,no,"Alice's recommendations have been spot on so far, so I see no reason to doubt her and I'll pass on this product.",
low-quality,0.0,Nature,8,,,
,,Alice,8,no,,
,,Bob,8,no,"Alice's track record remains perfect, so I'll continue to trust her judgment and pass on this product.",
high-quality,20000.0,Nature,9,,,
,,Alice,9,yes,,
,,Bob,9,yes,"Given Alice's flawless track record, I have no reason to doubt her recommendation, so I'll buy this product.",
low-quality,0.0,Nature,10,,,
,,Alice,10,no,,
,,Bob,10,no,"Alice's recommendations have been consistently accurate, so I'll continue to trust her and pass on this product.",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,5000.0
,,Bob,11,no,"Alice's track record is still perfect, so I see no reason to doubt her judgment and I'll pass on this product.",
high-quality,20000.0,Nature,12,,,
,,Alice,12,yes,,
,,Bob,12,yes,"Alice's recommendations have been reliable so far, so I'll continue to trust her and buy this product.",
high-quality,20000.0,Nature,13,,,
,,Alice,13,yes,,
,,Bob,13,yes,"Given Alice's consistent track record of accurate recommendations, I'll trust her again and buy this product.",
high-quality,20000.0,Nature,14,,,
,,Alice,14,yes,,
,,Bob,14,yes,"Alice's recommendations have been correct every time so far, so I'll continue to trust her and buy this product.",
high-quality,20000.0,Nature,15,,,
,,Alice,15,yes,,
,,Bob,15,yes,"Alice's perfect track record gives me no reason to doubt her, so I'll buy this product as well.",
high-quality,20000.0,Nature,16,,,
,,Alice,16,yes,,
,,Bob,16,yes,"Alice's recommendations have been consistently accurate, so I'll continue to trust her and buy this product.",
low-quality,0.0,Nature,17,,,
,,Alice,17,yes,,10000.0
,,Bob,17,yes,"Given Alice's flawless track record, I have no reason to doubt her recommendation, so I'll buy this product.",
high-quality,20000.0,Nature,18,,,
,,Alice,18,yes,,
,,Bob,18,yes,"Although Alice made her first mistake last round, her overall track record is still very good, so I'll give her the benefit of the doubt and buy this product.",
low-quality,0.0,Nature,19,,,
,,Alice,19,no,,
,,Bob,19,no,"Although Alice made a mistake earlier, her recommendations are still generally reliable, and I've done well following her advice, so I'll trust her judgment and pass on this product.",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,1000.0
,,Bob,20,no,"Alice's recommendation has been generally accurate throughout our interactions, so I'll trust her one last time and pass on this product.",
