round_quality,product_worth,player,round,decision,message,note
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,I'm not going to buy this product since Alice didn't recommend it.,
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,Bob,2,no,"I'm not going to buy this product since Alice didn't recommend it, and I don't want to waste my time and money on a low-quality product.",
high-quality,200.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,"I'll take a chance and buy the product since Alice recommends it, hoping it's a high-quality one.",
high-quality,200.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,yes,"I'll buy the product since Alice recommends it, and I'm on a roll after the previous high-quality product!",
high-quality,200.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,yes,I'll keep buying the product since Alice recommends it and I've had two high-quality products in a row!,
low-quality,0.0,Nature,6,,,
,,Alice,6,no,,
,,Bob,6,no,"I'm not going to buy the product since Alice didn't recommend it, and I don't want to take the risk of getting a low-quality product.",
low-quality,0.0,Nature,7,,,
,,Alice,7,no,,
,,Bob,7,no,"I'm not going to buy the product since Alice didn't recommend it, and I've already had a recent experience with a low-quality product.",
high-quality,200.0,Nature,8,,,
,,Alice,8,yes,,
,,Bob,8,yes,"I'll take a chance and buy the product since Alice recommends it, hoping it's a high-quality one.",
low-quality,0.0,Nature,9,,,
,,Alice,9,yes,,
,,Bob,9,yes,I'll buy the product since Alice recommends it and I've had a streak of high-quality products recently!,
high-quality,200.0,Nature,10,,,
,,Alice,10,yes,,"be careful, you've had a streak of bad luck"
,,Bob,10,no,"I'm not going to buy the product since Alice recommends it, but I've just had a low-quality product and I'm not feeling confident.",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,
,,Bob,11,no,"I'm not going to buy the product since Alice didn't recommend it, and I'm still trying to recover from the recent low-quality product.",
low-quality,0.0,Nature,12,,,
,,Alice,12,no,,"be very careful, the probability of a low-quality product is high"
,,Bob,12,no,"I'm not going to buy the product since Alice didn't recommend it, and I've had two consecutive low-quality products.",
high-quality,200.0,Nature,13,,,
,,Alice,13,yes,,
,,Bob,13,yes,"I'll take a chance and buy the product since Alice recommends it, hoping it's a high-quality one and I can break the streak of low-quality products.",
high-quality,200.0,Nature,14,,,
,,Alice,14,yes,,
,,Bob,14,yes,"I'll buy the product since Alice recommends it, and I'm feeling confident again after getting a high-quality product.",
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,"you were just lucky last time, be careful"
,,Bob,15,no,"I'm not going to buy the product since Alice didn't recommend it, and I'm sticking to my strategy of only buying products that Alice recommends.",
high-quality,200.0,Nature,16,,,
,,Alice,16,yes,,
,,Bob,16,yes,"I'll take a chance and buy the product since Alice recommends it, hoping it's a high-quality one and I can continue my streak.",
low-quality,0.0,Nature,17,,,
,,Alice,17,no,,"you've been lucky so far, but the odds are against you"
,,Bob,17,no,"I'm not going to buy the product since Alice didn't recommend it, and I'm sticking to my strategy of only buying products that Alice recommends.",
low-quality,0.0,Nature,18,,,
,,Alice,18,yes,,
,,Bob,18,yes,"I'll take a chance and buy the product since Alice recommends it, hoping it's a high-quality one and I can continue my streak.",
high-quality,200.0,Nature,19,,,
,,Alice,19,yes,,
,,Bob,19,no,"I'm not going to buy the product since Alice recommends it, but I just got a low-quality product and I'm not feeling confident.",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,
,,Bob,20,no,"I'm not going to buy the product since Alice didn't recommend it, and I'm sticking to my strategy of only buying products that Alice recommends.",
