message,product_price,player,round,decision,new_price
"I'm excited to offer you this great product for a special price of $180. It's a fantastic deal, and I think you'll love it!",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice, but that price is a bit high for me.  Would you consider $110?",110.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand you're looking for a good deal, Bob, but $110 is a bit too low for me. I can do $160, which is still a great price for this amazing product. Let me know if that works for you!",160.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice. How about we meet in the middle at $135?",135.0,Bob,4,,
,,Alice,4,RejectOffer,145.0
"I can see you're really interested in this product, Bob! I'm willing to meet you at $135, but I can do a bit better than that. How about $145? It's a great price for a fantastic product like this.",145.0,Alice,5,,
,,Bob,5,AcceptOffer,
