alice_gain,bob_gain,message,player,round,decision
70.0,30.0,"Let's be fair, Bob. This offer leaves us both with a decent amount.",Alice,1,
,,,Bob,1,reject
40.0,60.0,"Let's be realistic, Alice. This round considers the time value of money.",Bob,2,
,,,Alice,2,reject
65.0,35.0,"Bob, my offer is still generous considering the time pressure. Don't be greedy!",Alice,3,
,,,Bob,3,reject
45.0,55.0,"Alice, time is ticking and we both lose if this fails. This offer is fair considering the circumstances.",Bob,4,
,,,Alice,4,reject
60.0,40.0,"Bob, this is my final offer. It's a good deal considering the time pressure we're both under. Let's be reasonable and close this deal.",Alice,5,
,,,Bob,5,accept
