message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to discuss the sale of this valuable product with you. I believe it's a great opportunity for you to acquire a high-value asset. My initial offer is $1,100,000.",1200000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer.  I'm interested in the product, but the price is a bit high for me. Would you consider a lower price?",600000.0,Bob,2,,
,,Alice,2,RejectOffer,900000.0
"Hi Bob, thank you for your counteroffer. I appreciate your interest in the product. After considering your offer, I'm willing to meet you in the middle. My counteroffer is $900,000.",900000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, thanks for the counteroffer. While $900,000 is closer to what I had in mind, it's still a bit steep for me.  Could you consider something closer to $700,000?",700000.0,Bob,4,,
,,Alice,4,RejectOffer,950000.0
"Hi Bob, I see you're still interested in the product, and I appreciate your persistence. I'm willing to compromise, but I need to make a profit. My next counteroffer is $950,000. Let me know if this is something you'd be willing to consider.",950000.0,Alice,5,,
,,Bob,5,BuyFromJhon,
