message,product_price,player,round,decision,counteroffer
"Hello Bob, I have a great product that I think you'll love. Would you like to make an offer for it?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! That's a bit high for me. I'm interested in the product, but I'd be willing to pay $70 for it.  Let me know what you think.",70.0,Bob,2,,
,,Alice,2,RejectOffer,95.0
"Thanks for your offer, Bob. I appreciate your interest in the product. However, I'm not willing to go as low as $70. I'm willing to meet you halfway at $92.50",92.5,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I really appreciate you coming down a bit.  I'm still a little hesitant at $92.50.  How about we meet in the middle at $85? I'm sure we can find a solution that works for both of us.",85.0,Bob,4,,
,,Alice,4,RejectOffer,90.0
"I appreciate your persistence, Bob. I'm willing to meet you at $85, but I'd like to get a bit closer to my minimum price. How about we meet at $87.50?",87.5,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I'm getting closer to your price, but $87.50 is still a bit too high for me. How about we split the difference and go with $86.25?  I'm confident we can strike a deal at this price.",86.25,Bob,6,,
,,Alice,6,RejectOffer,88.0
"I appreciate your flexibility, Bob. I'm willing to meet you at $86.25, but I'd like to get a bit closer to my minimum price. How about we meet at $88?",88.0,Alice,7,,
,,Bob,7,BuyFromJhon,
