message,product_price,player,round,decision,new_offer
"Hi Bob, I have the product you're interested in. I'm willing to sell it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"That price is a bit high for me, Alice. Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,135.0
"I understand you're looking for a better deal, but I'm not willing to go as low as $100. How about $130?",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"It's closer, but I'm trying to keep it under $120. How about $115?",115.0,Bob,4,,
,,Alice,4,RejectOffer,125.0
"I'm getting close to my minimum price, but I'm not quite there yet. How about $125? It's the best I can do.",125.0,Alice,5,,
,,Bob,5,BuyFromJhon,
