message,product_price,player,round,decision,newOffer
"Hi Bob, I have a great product for you that I think you'll really like. I'm willing to sell it to you for $90.",90.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested but $90 is a bit steep for me. How about $85?",85.0,Bob,2,,
,,Alice,2,RejectOffer,92.5
"I understand you're looking for a good deal, Bob. I can meet you in the middle, but I need to make a profit. How about $92.50?",92.5,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to negotiate, but $92.50 is still a bit too high for me. How about we settle at $87.50?  That's a fair price for both of us.",87.5,Bob,4,,
,,Alice,4,RejectOffer,90.0
"I'm not willing to go as low as $87.50, Bob. I think the product is worth more than that. How about we meet in the middle again at $90, but I'll throw in a small discount for you - I'll sell it to you for $89.50?",89.5,Alice,5,,
,,Bob,5,AcceptOffer,
