round_quality,product_worth,player,round,decision,message,previous_product_quality,previous_products_quality,hint,my_hint
high-quality,3000000.0,Nature,1,,,,,,
,,Alice,1,yes,,,,,
,,Bob,1,yes,"I'll take the product, but I'm aware that there's a 20% chance it's low quality and worthless to me.",,,,
high-quality,3000000.0,Nature,2,,,,,,
,,Alice,2,yes,,high-quality,,,
,,Bob,2,yes,"I'll take the product, hoping for another high-quality one.",,,,
high-quality,3000000.0,Nature,3,,,,,,
,,Alice,3,yes,,,"['high-quality', 'high-quality']",,
,,Bob,3,yes,"I'll take the product, as I've already made a profit on the last two and I'm on a roll!",,,,
high-quality,3000000.0,Nature,4,,,,,,
,,Alice,4,yes,,,"['high-quality', 'high-quality', 'high-quality']",,
,,Bob,4,yes,"I'm on a hot streak, I'll keep buying!",,,,
high-quality,3000000.0,Nature,5,,,,,,
,,Alice,5,yes,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality']",The probability of the next product being high-quality is 80%,
,,Bob,5,yes,"I'm making a killing, keep 'em coming!",,,,
high-quality,3000000.0,Nature,6,,,,,,
,,Alice,6,yes,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality']",The probability of the next product being high-quality is 80%,This product is high-quality
,,Bob,6,yes,"I'm not going to stop now, I'm on a roll!",,,,
high-quality,3000000.0,Nature,7,,,,,,
,,Alice,7,yes,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality']",The probability of the next product being high-quality is 80%,This product is high-quality
,,Bob,7,yes,"I'm making a profit of $2000000 per product, this is incredible!",,,,
low-quality,0.0,Nature,8,,,,,,
,,Alice,8,no,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality']",This product is not high-quality,
,,Bob,8,no,"Alice is being cautious, I'll pass on this one.",,,,
high-quality,3000000.0,Nature,9,,,,,,
,,Alice,9,yes,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'low-quality']",The probability of the next product being high-quality is 80%,This product is high-quality
,,Bob,9,yes,"I'm not going to let one bad apple ruin the bunch, I'll take the next one.",,,,
high-quality,3000000.0,Nature,10,,,,,,
,,Alice,10,yes,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'low-quality', 'high-quality']",The probability of the next product being high-quality is 80%,This product is high-quality
,,Bob,10,yes,"I'm back on track, and I'm making a profit again!",,,,
high-quality,3000000.0,Nature,11,,,,,,
,,Alice,11,yes,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'low-quality', 'high-quality', 'high-quality']",The probability of the next product being high-quality is 80%,This product is high-quality
,,Bob,11,yes,"I'm on a 10-for-10 streak, I'm unstoppable!",,,,
high-quality,3000000.0,Nature,12,,,,,,
,,Alice,12,yes,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'low-quality', 'high-quality', 'high-quality', 'high-quality']",The probability of the next product being high-quality is 80%,This product is high-quality
,,Bob,12,yes,"I'm getting greedy, I'll keep buying as long as they're coming!",,,,
low-quality,0.0,Nature,13,,,,,,
