message,product_price,player,round,decision,new_offer
I'm excited to offer you this great product! It's a unique opportunity to own something valuable. I'm willing to sell it to you for $110.,110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I appreciate you being willing to negotiate. I'm really interested in the product, but $110 is a bit more than I'm comfortable paying right now.  Would you be willing to come down to $105?",105.0,Bob,2,,
,,Alice,2,RejectOffer,115.0
"I understand you're looking to save some money, Bob. However, I've already come down from my initial price of $110 to $115. I'm willing to meet you halfway and sell the product to you for $112.50. This is the lowest I can go without losing money on the deal.",112.5,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you meeting me halfway, but $112.50 is still a bit higher than I'm comfortable paying.  I'm happy to split the difference between our last two offers and pay $110. Let me know what you think.",110.0,Bob,4,,
,,Alice,4,RejectOffer,113.0
"I've already offered you a price of $112.50, and you're now asking me to go back to $110. I'm willing to meet you halfway again, but I need to make a bit more profit. I'll sell the product to you for $112. It's the lowest price I can offer without losing money on the deal.",112.0,Alice,5,,
,,Bob,5,AcceptOffer,
