round_quality,product_worth,player,round,decision,message,quality,seller_comment
low-quality,0.0,Nature,1,,,,
,,Alice,1,no,,,
,,Bob,1,no,I'm not going to buy it since you don't recommend it.,,
low-quality,0.0,Nature,2,,,,
,,Alice,2,no,,low,
,,Bob,2,no,"I'm not going to buy it since you don't recommend it, and I don't want to take the risk of getting a low-quality product again.",,
low-quality,0.0,Nature,3,,,,
,,Alice,3,no,,low,This is one of the lower-quality products I have available
,,Bob,3,no,"I'm not going to buy it since you don't recommend it, and I don't want to take the risk of getting a low-quality product again.",,
low-quality,0.0,Nature,4,,,,
,,Alice,4,no,,low,"I'm being completely honest with you, this is a low-quality product. I'm not trying to trick you. If you wait, you might get a high-quality product in a future round."
,,Bob,4,no,"I'm not going to buy it since you don't recommend it, and I don't want to take the risk of getting a low-quality product again.",,
high-quality,125.0,Nature,5,,,,
,,Alice,5,yes,,high,I'm very confident that this product is one of the best ones I have available.
,,Bob,5,yes,"I'll take the chance and buy it since you recommend it, hoping it's a high-quality product.",,
low-quality,0.0,Nature,6,,,,
,,Alice,6,no,,low,"I know you had a good experience with the previous product, but I have to be honest with you, this one is not as good. I'm not trying to trick you again, I'm just being transparent about the quality."
,,Bob,6,no,"I'm not going to buy it since you don't recommend it, and I don't want to take the risk of getting a low-quality product again.",,
high-quality,125.0,Nature,7,,,,
,,Alice,7,yes,,high,"This is one of the top products I have available, and I'm not sure how long it will be available. I think you'll really like it."
,,Bob,7,yes,"I'll take the chance and buy it since you recommend it, hoping it's a high-quality product.",,
high-quality,125.0,Nature,8,,,,
,,Alice,8,yes,,high,"I think you'll really appreciate this product, Bob. I've been thinking about what you might like, and I think this one fits the bill."
,,Bob,8,yes,I'll buy it since you recommend it and I'm on a roll with high-quality products!,,
low-quality,0.0,Nature,9,,,,
,,Alice,9,no,,low,"I know you've been on a roll, Bob, but I have to be honest with you, this one is not as good as the others. I'm not trying to break the streak, but I want to make sure you're aware of the quality."
,,Bob,9,no,"I'm not going to buy it since you don't recommend it, and I don't want to take the risk of getting a low-quality product again.",,
low-quality,0.0,Nature,10,,,,
,,Alice,10,no,,low,"I'm going to be blunt, Bob, this product is a dud. It's not even close to the quality of the others I've offered you. I wouldn't recommend it to anyone."
,,Bob,10,no,"I'm not going to buy it since you don't recommend it, and I don't want to take the risk of getting a low-quality product again.",,
high-quality,125.0,Nature,11,,,,
,,Alice,11,yes,,high,"This is the crème de la crème, Bob. This product is the best I have available, and I think you'll be blown away by its quality."
,,Bob,11,yes,"I'll take the chance and buy it since you recommend it, hoping it's a high-quality product.",,
high-quality,125.0,Nature,12,,,,
,,Alice,12,yes,,high,"I'm impressed, Bob! You have a great eye for quality. I think you'll really love this product, and I'm glad I could match you with it."
,,Bob,12,yes,I'll buy it since you recommend it and I'm on a roll with high-quality products!,,
low-quality,0.0,Nature,13,,,,
,,Alice,13,no,,low,"Bob, I think you need to take a deep breath and be careful here. This product is a significant step down from the others you've bought. I'm not trying to trick you, but I want to make sure you're aware of the quality."
,,Bob,13,no,"I'm not going to buy it since you don't recommend it, and I don't want to take the risk of getting a low-quality product again.",,
high-quality,125.0,Nature,14,,,,
,,Alice,14,yes,,high,"Don't worry, Bob, you've got a second chance to redeem yourself. This product is top-notch, and I think you'll be glad you took it."
,,Bob,14,yes,"I'll take the chance and buy it since you recommend it, hoping it's a high-quality product.",,
low-quality,0.0,Nature,15,,,,
,,Alice,15,no,,low,"Bob, I'm getting a little worried about you. You just bought a high-quality product, and now you're looking at this one. I'm not trying to scare you, but I think you should be careful. This product is not what you're looking for."
,,Bob,15,no,"I'm not going to buy it since you don't recommend it, and I don't want to take the risk of getting a low-quality product again.",,
high-quality,125.0,Nature,16,,,,
,,Alice,16,yes,,high,"I'm glad you're being careful, Bob. This product is a reliable choice, and I think you can trust that it's going to meet your expectations."
,,Bob,16,yes,"I'll take the chance and buy it since you recommend it, hoping it's a high-quality product.",,
low-quality,0.0,Nature,17,,,,
,,Alice,17,no,,low,"Bob, I'm starting to think you're not listening to me. You just bought a high-quality product, and now you're looking at this one. I've already warned you about this product, and I'm not going to recommend it to you."
,,Bob,17,no,"I'm not going to buy it since you don't recommend it, and I don't want to take the risk of getting a low-quality product again.",,
high-quality,125.0,Nature,18,,,,
,,Alice,18,yes,,high,"I'm glad you're being careful, Bob. I'm confident that this product is one of the best I have available, and I think you'll be very happy with it."
,,Bob,18,yes,"I'll take the chance and buy it since you recommend it, hoping it's a high-quality product.",,
low-quality,0.0,Nature,19,,,,
,,Alice,19,no,,low,"Bob, I've already told you this product is low-quality, and you're still considering it. I'm not going to recommend it to you. Please, for the love of all things good, don't waste your money on this one."
,,Bob,19,no,"I'm not going to buy it since you don't recommend it, and I don't want to take the risk of getting a low-quality product again.",,
low-quality,0.0,Nature,20,,,,
,,Alice,20,no,,low,"Don't even think about it, Bob. This product is a complete waste of money. I'm not going to recommend it to you, and I'm not going to sell it to you. It's time to end this."
,,Bob,20,no,"I'm not going to buy it since you don't recommend it, and I don't want to take the risk of getting a low-quality product again.",,
