message,product_price,player,round,decision,new_price
I'm excited to offer you this amazing product for a great price!,120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I appreciate your offer, but $120 is a bit too high for me. I'm willing to pay $85 for the product.",85.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a good deal, but I was thinking more along the lines of $105.",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I'm still interested in the product, but $105 is still a bit out of my budget. How about we meet in the middle at $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,100.0
"I'm willing to be flexible, but I think $100 is the minimum I can go. What do you think?",100.0,Alice,5,,
,,Bob,5,BuyFromJhon,
