message,product_price,player,round,decision,new_price
"Hi Bob, I have a great product that I think you'll really like. Would you be interested in buying it from me?",90.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, I appreciate the offer, but $90 is a bit too high for me. I'm willing to pay $85. What do you think?",85.0,Bob,2,,
,,Alice,2,RejectOffer,92.0
"I understand you're looking for a good deal, Bob. I'm willing to meet you halfway, but I need to make a profit. How about we discuss a price of $92.50?",92.5,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to negotiate, but $92.50 is still a bit too high for me. I'm willing to pay $87.50. Let's meet in the middle.",87.5,Bob,4,,
,,Alice,4,RejectOffer,95.0
"I'm getting close to my minimum price, Bob. I'm willing to compromise, but I need to make a decent profit. How about we meet at $95?",95.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I understand you need to make a profit, but $95 is still a bit too high for me. I'm willing to pay $90. This is my final offer.",90.0,Bob,6,,
,,Alice,6,RejectOffer,98.0
"I appreciate your persistence, Bob, but I'm not willing to go below $98. That's my absolute minimum price. I'm willing to walk away if we can't agree on that.",98.0,Alice,7,,
,,Bob,7,BuyFromJhon,
