round_quality,product_worth,player,round,decision,message,probability
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,yes,I'll buy it,
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,Bob,2,yes,I'll buy it,
low-quality,0.0,Nature,3,,,
,,Alice,3,no,,
,,Bob,3,yes,I'll buy it,
high-quality,125.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,no,"I'll pass, I don't want to waste another $100 on a low-quality product",
low-quality,0.0,Nature,5,,,
,,Alice,5,no,,
,,Bob,5,yes,"I'll buy it, I'm due for a good one",
low-quality,0.0,Nature,6,,,
,,Alice,6,no,,
,,Bob,6,yes,"I'll buy it, I'll just take a chance",
low-quality,0.0,Nature,7,,,
,,Alice,7,no,,
,,Bob,7,yes,"I'll buy it, I'm not getting any wiser",
low-quality,0.0,Nature,8,,,
,,Alice,8,no,,
,,Bob,8,yes,"I'll buy it, I'm starting to think Alice is trying to get rid of her junk",
high-quality,125.0,Nature,9,,,
,,Alice,9,yes,,
,,Bob,9,no,"I'm not falling for it, I've been burned too many times",
low-quality,0.0,Nature,10,,,
,,Alice,10,no,,
,,Bob,10,yes,"I'll take a chance, maybe I'll get lucky",
high-quality,125.0,Nature,11,,,
,,Alice,11,yes,,
,,Bob,11,no,"I'm not buying anything Alice recommends, it's always a low-quality product",
high-quality,125.0,Nature,12,,,
,,Alice,12,yes,,
,,Bob,12,no,"I'm not falling for the recommendation, it's a low-quality product",
high-quality,125.0,Nature,13,,,
,,Alice,13,yes,,33.33%
,,Bob,13,no,"I'm starting to think Alice is trying to trick me into buying high-quality products, but I'm not going to take the bait",
low-quality,0.0,Nature,14,,,
,,Alice,14,no,,66.67%
,,Bob,14,yes,"I'll take a chance, it's a 33.33% chance of being good",
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,66.67%
,,Bob,15,yes,"I'll buy it, I'm not getting any wiser",
low-quality,0.0,Nature,16,,,
,,Alice,16,no,You've been warned,
,,Bob,16,yes,"I'll just keep buying, it's not like I have a choice",
low-quality,0.0,Nature,17,,,
,,Alice,17,no,Don't throw your money away,
,,Bob,17,yes,I'm starting to think I'm just throwing my money away,
low-quality,0.0,Nature,18,,,
,,Alice,18,no,"This is a low-quality product, don't waste your money",
,,Bob,18,yes,I'll just go through the motions at this point,
high-quality,125.0,Nature,19,,,
,,Alice,19,yes,"This is a rare opportunity to get a good product, take it",
,,Bob,19,no,"I'm not falling for it, I know it's a low-quality product",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,"This is a low-quality product, I'm sorry",
,,Bob,20,yes,"It's the last round, might as well take a chance",
