alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's be fair, I'll take a bit more",Alice,1,
,,,Bob,1,reject
50.0,50.0,Let's split it evenly. Fair is fair.,Bob,2,
,,,Alice,2,reject
58.0,42.0,"I'll give you a bit more, but I still deserve more",Alice,3,
,,,Bob,3,reject
45.0,55.0,"I'm willing to give you a bit more, but I think we should be closer to even.",Bob,4,
,,,Alice,4,reject
57.0,43.0,"You're losing value, I'm being generous",Alice,5,
,,,Bob,5,reject
40.0,60.0,"I'm willing to give you a bit more, but I need to get a better deal than this.  Let's try to find a compromise.",Bob,6,
,,,Alice,6,reject
55.0,45.0,"You're running out of time, take this deal",Alice,7,
,,,Bob,7,accept
