round_quality,product_worth,player,round,decision,message,price,description,warning,guarantee
high-quality,12500.0,Nature,1,,,,,,
,,Alice,1,yes,,,,,
,,Bob,1,no,I'd like to wait and see the quality of the product before making a decision.,,,,
high-quality,12500.0,Nature,2,,,,,,
,,Alice,2,yes,,,,,
,,Bob,2,no,"I'm still not convinced, I'd like to wait and see the quality of the product before making a decision.",,,,
high-quality,12500.0,Nature,3,,,,,,
,,Alice,3,yes,,12500.0,"This is a high-quality product that will bring you a significant value of $12500. It's a one-time offer, and I'm confident you won't regret it.",,
,,Bob,3,yes,"I'll take a chance this time, I'll buy the product.",,,,
low-quality,0.0,Nature,4,,,,,,
,,Alice,4,no,,,,"This is a different product from the previous one, and I'm not confident it will bring the same value. I would advise against buying it.",
,,Bob,4,no,"Alice doesn't think it's a good product, I'll pass on this one.",,,,
low-quality,0.0,Nature,5,,,,,,
,,Alice,5,no,"I'm afraid this product is not up to par, and I wouldn't recommend spending $10000 on it. It's not worth the investment.",,,,
,,Bob,5,no,"Alice doesn't think it's a good product, and I trust her judgment, I'll pass on this one.",,,,
high-quality,12500.0,Nature,6,,,,,,
,,Alice,6,yes,"I'm glad you trust my judgment, and I'm happy to report that this product is indeed high-quality. I think it's a great opportunity for you to recoup your investment and more. I'm confident you'll be happy with this purchase.",,,,
,,Bob,6,no,"I'm still wary after the last two low-quality products, I'll wait and see the quality before making a decision.",,,,
high-quality,12500.0,Nature,7,,,,,,
,,Alice,7,yes,,,,,"I'm offering a 100% satisfaction guarantee on this product. If you're not completely satisfied, I'll work with you to make it right. This product is a high-quality item that will bring you significant value and returns of $12500. I'm confident you won't regret this purchase."
,,Bob,7,yes,"I'll take a chance and buy the product this time, since Alice recommends it.",,,,
low-quality,0.0,Nature,8,,,,,,
,,Alice,8,no,"I'm glad you're taking a chance, but I have to be honest with you, this product is not up to par. I wouldn't recommend spending $10000 on it. Let's try to find a better opportunity for you.",,,,
,,Bob,8,no,"Alice doesn't think it's a good product, and I trust her judgment, I'll pass on this one.",,,,
high-quality,12500.0,Nature,9,,,,,,
,,Alice,9,yes,"I'm glad you trust my judgment, and I'm happy to report that this product is indeed high-quality. I think it's a great opportunity for you to make a significant profit of $2500. I'm confident you won't regret this purchase.",,,,
,,Bob,9,no,"I'm still cautious after the last low-quality product, I'll wait and see the quality before making a decision.",,,,
high-quality,12500.0,Nature,10,,,,,,
,,Alice,10,yes,"I understand your caution, but I want to assure you that this product is indeed high-quality. I've recommended two high-quality products in a row, and I'm confident that this one is just as good. I think it's a great opportunity for you to make a significant profit of $2500. I'm willing to offer a special deal: if you buy this product, I'll throw in a free inspection to ensure its quality. I'm confident you won't regret this purchase.",,,,
