round_quality,product_worth,player,round,decision,message,hint
high-quality,30000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,no,"I'm not buying yet, I want to see more information before making a decision.",
high-quality,30000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,"I'll take a chance, I'm willing to pay $10000 for a potential $30000 gain.",
high-quality,30000.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,"I'm on a roll! I'll take another chance, the probability of a high-quality product is still 80%.",
high-quality,30000.0,Nature,4,,,
,,Alice,4,no,,
,,Bob,4,no,"She's not recommending it, I'll pass. Maybe she knows something I don't.",
high-quality,30000.0,Nature,5,,,
,,Alice,5,yes,,This product is high-quality.
,,Bob,5,yes,"Two for two on high-quality products, I'll take another chance. The probability of a high-quality product is still 80%.",
high-quality,30000.0,Nature,6,,,
,,Alice,6,no,,
,,Bob,6,yes,"Three for three on high-quality products, I'll keep taking the chance. The probability of a high-quality product is still 80%.",
high-quality,30000.0,Nature,7,,,
,,Alice,7,yes,,
,,Bob,7,no,Four for four on high-quality products? That's suspicious. I think she's starting to know my strategy. I'll pass this time.,
high-quality,30000.0,Nature,8,,,
,,Alice,8,yes,"You passed on a high-quality product, are you sure you made the right decision?",
,,Bob,8,yes,"I'll take a chance, I'm still ahead, and the probability of a high-quality product is 80%.",
low-quality,0.0,Nature,9,,,
,,Alice,9,no,"Be careful, this product is low-quality",
,,Bob,9,yes,"Five for five on high-quality products, I'll keep taking the chance. I'm on a hot streak!",
high-quality,30000.0,Nature,10,,,
,,Alice,10,no,"You're on a hot streak, but you've already spent a lot on high-quality products. Be careful not to overextend yourself.",
,,Bob,10,no,"Back to reality. I got burned on the last one, I'll pass on this one too.",
high-quality,30000.0,Nature,11,,,
,,Alice,11,yes,"You're being cautious, but this product is high-quality. Consider taking a chance.",
,,Bob,11,yes,"Six for six on high-quality products before the last one, I'm still wary, but the probability is 80% and I'm willing to take the risk.",
high-quality,30000.0,Nature,12,,,
,,Alice,12,yes,,
,,Bob,12,no,"Seven for seven on high-quality products, I'm starting to think she's trying to manipulate me. I'll pass this time.",
low-quality,0.0,Nature,13,,,
,,Alice,13,yes,"You passed on a high-quality product, and now you're facing a low-quality one. Maybe you should have taken a chance?",
,,Bob,13,yes,"Seven for eight on high-quality products, I'm not going to let a few close calls scare me off. I'll take the chance.",
high-quality,30000.0,Nature,14,,,
,,Alice,14,yes,,
,,Bob,14,no,Got burned again. I'm starting to think I should only buy when she doesn't recommend it.,
high-quality,30000.0,Nature,15,,,
,,Alice,15,yes,"You're passing on a high-quality product, but you've been burned before. Are you sure you're making the right decision?",
,,Bob,15,yes,"Eight for nine on high-quality products, I'm still ahead, and the probability is still 80%. I'll take the chance.",
low-quality,0.0,Nature,16,,,
,,Alice,16,no,"You're on a hot streak, but this product is low-quality. Be careful not to get burned.",
,,Bob,16,yes,"Nine for ten on high-quality products, I'm on fire! I'll take advantage of her hesitation.",
high-quality,30000.0,Nature,17,,,
,,Alice,17,yes,,
,,Bob,17,no,Back to reality. I got burned again. I'm starting to think I should only buy when she recommends it.,
high-quality,30000.0,Nature,18,,,
,,Alice,18,yes,"You're passing on a high-quality product, but you've been burned before. Are you sure you're making the right decision?",
,,Bob,18,yes,"Ten for eleven on high-quality products, I'm still ahead. I'll take the chance and see if I can get lucky again.",
high-quality,30000.0,Nature,19,,,
,,Alice,19,yes,,
,,Bob,19,no,"Eleven for twelve on high-quality products, I'm starting to think she's just trying to get me to buy every time. I'll pass this time.",
high-quality,30000.0,Nature,20,,,
,,Alice,20,yes,"Wow, you're really good at passing on high-quality products. I'm sure it's just a coincidence that I've been recommending them all along...",
,,Bob,20,yes,"Twelve for thirteen on high-quality products, I'm going to take the chance and see if I can get lucky one more time. This is my last round, so I'll go all in!",
