message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you a great deal on this amazing product. I think you'll really love it! I'm willing to sell it to you for $100.",100.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I'm interested, but $100 is a bit above my budget.  How about $75? ",75.0,Bob,2,,
,,Alice,2,RejectOffer,90.0
"I understand you're looking for a good deal, Bob, but I've already made a significant concession from my initial offer. I'm willing to meet you halfway, but I need to make a profit. How about $92.50?",92.5,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to negotiate, but $92.50 is still a bit too high for me.  I'm happy to go up a bit, how about $85? It's a fair price for both of us, and we can close the deal. ",85.0,Bob,4,,
,,Alice,4,RejectOffer,87.5
"I'm glad you're willing to meet me in the middle, Bob! However, I still need to make a profit. I'm willing to compromise, but I think $87.50 is a bit too low for me. How about we meet at $89.25?",89.25,Alice,5,,
,,Bob,5,BuyFromJhon,
