message,product_price,player,round,decision,new_price
I'm excited to offer you this great product! I think you'll really love it. Would you like to make an offer for it?,180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for offering! That price is a bit high for me, though.  Would you consider selling it for $80?",80.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand you think it's a bit high, but I'm not willing to go as low as $80. I'm willing to meet you in the middle, though. Would you consider $120?",120.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you meeting me halfway. How about $95? That's a fair price, and I'm ready to buy if you agree.",95.0,Bob,4,,
,,Alice,4,RejectOffer,140.0
"I'm glad you're willing to meet me halfway, but $95 is still a bit low for me. I'm willing to compromise, but I need to make a profit. How about we meet at $130?",130.0,Alice,5,,
,,Bob,5,BuyFromJhon,
