product_price,player,round,decision,counteroffer
18000.0,Alice,1,,
,Bob,1,RejectOffer,
8000.0,Bob,2,,
,Alice,2,RejectOffer,16000.0
16500.0,Alice,3,,
,Bob,3,RejectOffer,
9500.0,Bob,4,,
,Alice,4,RejectOffer,17000.0
16800.0,Alice,5,,
,Bob,5,RejectOffer,
10000.0,Bob,6,,
,Alice,6,RejectOffer,16900.0
16950.0,Alice,7,,
,Bob,7,RejectOffer,
11000.0,Bob,8,,
,Alice,8,RejectOffer,17100.0
17200.0,Alice,9,,
,Bob,9,RejectOffer,
12000.0,Bob,10,,
,Alice,10,RejectOffer,17300.0
17400.0,Alice,11,,
,Bob,11,RejectOffer,
13000.0,Bob,12,,
,Alice,12,RejectOffer,17500.0
17600.0,Alice,13,,
,Bob,13,RejectOffer,
14000.0,Bob,14,,
,Alice,14,RejectOffer,17650.0
17700.0,Alice,15,,
,Bob,15,RejectOffer,
15000.0,Bob,16,,
,Alice,16,AcceptOffer,
