message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to show you this amazing product. I think you'll really love it! Would you like to make an offer on it?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for showing me the product. I'm interested but $120 is a bit steep for me. Would you consider a lower price?",60.0,Bob,2,,
,,Alice,2,RejectOffer,90.0
"I understand you're looking for a better deal, Bob. However, I still need to make a profit on this product. I'm willing to meet you halfway, but I need $90 for it to be worth my while. What do you think?",90.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down on the price, Alice.  How about we meet in the middle at $75? That's a fair deal for both of us.",75.0,Bob,4,,
,,Alice,4,RejectOffer,85.0
"I'm glad we're close, Bob. However, I still need to make a decent profit on this product. I'm willing to meet you at $80, which is the minimum I'm willing to go. What do you think?",80.0,Alice,5,,
,,Bob,5,AcceptOffer,
