message,product_price,player,round,decision,new_price
I have a great deal for you on this amazing product! I think you'll really love it.,180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice, but $180 is a bit steep for me. I'm interested in the product, but I'd be willing to pay around $100 for it. What do you say?",100.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I can see you're interested in the product, Bob! I'm willing to meet you halfway. I can do $140 for the product, but I need to make a profit, so I'm not going any lower than that.",140.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you meeting me halfway, Alice. How about we settle at $115? That's a fair compromise.",115.0,Bob,4,,
,,Alice,4,RejectOffer,145.0
"I understand you're trying to get a good deal, Bob, but I've already met you halfway and compromised on the price. I'm willing to give you a slight discount, but I need to make a profit. I can do $135 for the product.",135.0,Alice,5,,
,,Bob,5,BuyFromJhon,
