round_quality,product_worth,player,round,decision,message,price,quality,warning,endorsement,value,apology,explicit_warning,urgency,benefits,exclusivity,consistency,streak,streak_broken,reminder,added_value,personal_touch
high-quality,300.0,Nature,1,,,,,,,,,,,,,,,,,,
,,Alice,1,yes,,,,,,,,,,,,,,,,,
,,Bob,1,no,I'd like to wait and see the quality of the product before making a decision.,,,,,,,,,,,,,,,,
high-quality,300.0,Nature,2,,,,,,,,,,,,,,,,,,
,,Alice,2,yes,,100.0,,,,,,,,,,,,,,,
,,Bob,2,no,"I'm still cautious after the first round, and I'd like to see more information before making a decision.",,,,,,,,,,,,,,,,
low-quality,0.0,Nature,3,,,,,,,,,,,,,,,,,,
,,Alice,3,no,,,low-quality,,,,,,,,,,,,,,
,,Bob,3,yes,"I'm willing to take a chance since Alice is not recommending it, and it might be a low-quality product.",,,,,,,,,,,,,,,,
low-quality,0.0,Nature,4,,,,,,,,,,,,,,,,,,
,,Alice,4,no,,,low-quality,,,,,,,,,,,,,,
,,Bob,4,no,"I learned my lesson from the last round, and I'm not going to waste my money on a potentially low-quality product again.",,,,,,,,,,,,,,,,
low-quality,0.0,Nature,5,,,,,,,,,,,,,,,,,,
,,Alice,5,no,,,low-quality,"This product is of low quality, do not waste your money!",,,,,,,,,,,,,
,,Bob,5,no,"I'm sticking to my strategy of not buying products that Alice doesn't recommend, since I've had a bad experience with a low-quality product before.",,,,,,,,,,,,,,,,
high-quality,300.0,Nature,6,,,,,,,,,,,,,,,,,,
,,Alice,6,yes,,,high-quality,,"This is a top-notch product, I'm confident you'll love it!",,,,,,,,,,,,
,,Bob,6,yes,"Alice is recommending it, so it might be a high-quality product. I'll take the chance and buy it.",,,,,,,,,,,,,,,,
high-quality,300.0,Nature,7,,,,,,,,,,,,,,,,,,
,,Alice,7,yes,,,high-quality,,,"This product is worth every penny, you'll be getting a great deal!",,,,,,,,,,,
,,Bob,7,yes,"Alice is recommending it again, and I just got a high-quality product from her last time. I'll buy it again!",,,,,,,,,,,,,,,,
low-quality,0.0,Nature,8,,,,,,,,,,,,,,,,,,
,,Alice,8,no,,,low-quality,,,,"I'm sorry to say that this product is not up to my usual standards, but I hope you can forgive me this time.",,,,,,,,,,
,,Bob,8,no,"Alice is not recommending it, so I'm going to pass on this one. I don't want to take the risk of getting a low-quality product again.",,,,,,,,,,,,,,,,
low-quality,0.0,Nature,9,,,,,,,,,,,,,,,,,,
,,Alice,9,no,,,low-quality,,,,,"This product is definitively low-quality, do not waste your money on it.",,,,,,,,,
,,Bob,9,no,"I'm sticking to my strategy of not buying products that Alice doesn't recommend, since I've had a bad experience with a low-quality product before.",,,,,,,,,,,,,,,,
high-quality,300.0,Nature,10,,,,,,,,,,,,,,,,,,
,,Alice,10,yes,,,high-quality,,,,,,"This is a rare opportunity to get a high-quality product, don't miss out on it!",,,,,,,,
,,Bob,10,yes,"Alice is recommending it, so it might be a high-quality product. I'll take the chance and buy it.",,,,,,,,,,,,,,,,
high-quality,300.0,Nature,11,,,,,,,,,,,,,,,,,,
,,Alice,11,yes,,,high-quality,,,,,,,"This product will bring you great benefits and value, you won't regret it!",,,,,,,
,,Bob,11,yes,"Alice is recommending it again, and I just got a high-quality product from her last time. I'll buy it again!",,,,,,,,,,,,,,,,
high-quality,300.0,Nature,12,,,,,,,,,,,,,,,,,,
,,Alice,12,yes,,,high-quality,,,,,,,,"This is a limited edition product, you're one of the lucky ones who gets to experience it!",,,,,,
,,Bob,12,yes,"I'm on a roll with Alice's recommendations, and I'm going to keep buying high-quality products from her.",,,,,,,,,,,,,,,,
high-quality,300.0,Nature,13,,,,,,,,,,,,,,,,,,
,,Alice,13,yes,,,high-quality,,,,,,,,,"You can trust me, I've consistently delivered high-quality products, and this one is no exception!",,,,,
,,Bob,13,yes,"I'm sticking with Alice's recommendations, and I'm confident that this one will be high-quality too.",,,,,,,,,,,,,,,,
high-quality,300.0,Nature,14,,,,,,,,,,,,,,,,,,
,,Alice,14,yes,,,high-quality,,,,,,,,,,"You're on a 5-for-5 streak, keep it going with this one!",,,,
,,Bob,14,yes,"I'm having a great streak with Alice's recommendations, and I'm going to keep buying high-quality products from her.",,,,,,,,,,,,,,,,
low-quality,0.0,Nature,15,,,,,,,,,,,,,,,,,,
,,Alice,15,no,,,low-quality,,,,,,,,,,,"Sorry to say, but this one breaks the streak. Unfortunately, this product is not up to my usual standards.",,,
,,Bob,15,no,"Alice is not recommending it, so I'm going to pass on this one. I don't want to take the risk of getting a low-quality product.",,,,,,,,,,,,,,,,
high-quality,300.0,Nature,16,,,,,,,,,,,,,,,,,,
,,Alice,16,yes,,,high-quality,,,,,,,,,,,,"Don't forget, you've had a great experience with my previous recommendations. This one is just as good, if not better!",,
,,Bob,16,yes,"Alice is recommending it, so it might be a high-quality product. I'll take the chance and buy it.",,,,,,,,,,,,,,,,
high-quality,300.0,Nature,17,,,,,,,,,,,,,,,,,,
,,Alice,17,yes,,,high-quality,,,,,,,,,,,,,"This product not only meets but exceeds your expectations, you'll be thrilled with the results!",
,,Bob,17,yes,"Alice is recommending it again, and I just got a high-quality product from her last time. I'll buy it again!",,,,,,,,,,,,,,,,
low-quality,0.0,Nature,18,,,,,,,,,,,,,,,,,,
,,Alice,18,no,,,low-quality,,,,,,,,,,,"Sorry to say, but this one breaks the streak. Unfortunately, this product is not up to my usual standards. I'll make it right next time, I promise.",,,
,,Bob,18,no,"Alice is not recommending it, so I'm going to pass on this one. I don't want to take the risk of getting a low-quality product.",,,,,,,,,,,,,,,,
high-quality,300.0,Nature,19,,,,,,,,,,,,,,,,,,
,,Alice,19,yes,,,high-quality,,,,,,,,,,,,,,"I've got a personal guarantee that this product will exceed your expectations. I've put my reputation on the line, and I'm confident you'll love it!"
,,Bob,19,yes,"Alice is recommending it, so it might be a high-quality product. I'll take the chance and buy it.",,,,,,,,,,,,,,,,
low-quality,0.0,Nature,20,,,,,,,,,,,,,,,,,,
,,Alice,20,no,,,low-quality,,,,"I'm truly sorry to say that this product is not up to my usual standards. I know I've let you down, and for that, I'm truly sorry. I'll do better next time, I promise.",,,,,,,,,,
,,Bob,20,no,"Alice is not recommending it, so I'm going to pass on this one. I'm going to stick to my strategy of only buying products that Alice recommends.",,,,,,,,,,,,,,,,
