message,product_price,player,round,decision,newOffer
"Hi Bob, I'm excited to offer you this amazing product! I think you'll really love it. Would you like to buy it from me for $150?",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $80. Can you meet me at that price?",80.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I understand you're looking for a good deal, Bob! However, I have to make a living, and $80 is a bit too low for me. How about we meet in the middle at $120? I'm willing to sell it to you for that price.",120.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to compromise, Alice. However, $120 is still a bit high for me. Can you consider $100? I'm really interested in the product, and I'm willing to pay a fair price for it.",100.0,Bob,4,,
,,Alice,4,RejectOffer,130.0
"I'm glad you're still interested in the product, Bob! I'm willing to meet you halfway between $100 and $130, so how about we settle on $115? It's a fair price that I'm comfortable with, and I think you'll be happy with the deal.",115.0,Alice,5,,
,,Bob,5,BuyFromJhon,
