alice_gain,bob_gain,player,round,decision
600000.0,400000.0,Alice,1,
,,Bob,1,reject
250000.0,750000.0,Bob,2,
,,Alice,2,reject
525000.0,475000.0,Alice,3,
,,Bob,3,reject
200000.0,800000.0,Bob,4,
,,Alice,4,reject
455000.0,545000.0,Alice,5,
,,Bob,5,reject
150000.0,850000.0,Bob,6,
,,Alice,6,reject
427500.0,572500.0,Alice,7,
,,Bob,7,reject
100000.0,900000.0,Bob,8,
,,Alice,8,reject
403750.0,596250.0,Alice,9,
,,Bob,9,reject
50000.0,950000.0,Bob,10,
,,Alice,10,reject
382125.0,617875.0,Alice,11,
,,Bob,11,reject
1000.0,999000.0,Bob,12,
,,Alice,12,accept
