message,product_price,player,round,decision,newOffer
"Hello Bob, I have a great product that I think you'll love. I'm willing to let it go for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer, but $120 is a bit too high for me.  Would you consider $60?",60.0,Bob,2,,
,,Alice,2,RejectOffer,100.0
"Thanks for the offer, Bob, but $60 is a bit low for me. I can do $90 for the product.",90.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand that $60 is low, but $90 is still a bit more than I was hoping to spend. How about we meet in the middle at $75?",75.0,Bob,4,,
,,Alice,4,RejectOffer,85.0
"I can do $85, but I'm not sure I can go any higher. This is a fair price for a great product!",85.0,Alice,5,,
,,Bob,5,BuyFromJhon,
