message,product_price,player,round,decision,new_offer
"Hello Bob, I have a great product that I think you'll really like. Would you be interested in making an offer for it?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $90. Is that something you'd be willing to consider?",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I appreciate your interest in the product, Bob. I can do a bit better than $90, but I'm not willing to go all the way to $120. How about we meet in the middle at $105?",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet in the middle, but I'm still a bit above my budget. How about we try $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,108.0
"I'm not willing to go below $105, but I'm willing to compromise a bit more. How about we try $107.50?",107.5,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to compromise, but I'm still a bit above my budget. How about we try $102?",102.0,Bob,6,,
,,Alice,6,RejectOffer,109.0
"I'm not willing to go below $107.50, but I'm willing to meet you halfway between $107.50 and $102. How about we try $104.75?",104.75,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate your willingness to meet me halfway, but I'm still a bit above my budget. How about we try $103?",103.0,Bob,8,,
,,Alice,8,RejectOffer,108.0
"I'm not willing to go below $104.75, but I'm willing to make a small concession. How about we try $105?",105.0,Alice,9,,
,,Bob,9,RejectOffer,
"I appreciate your willingness to make a concession, but I'm still a bit above my budget. This is my final offer: $101. I'm willing to meet you at this price. If not, I'll consider buying from John for $120.",101.0,Bob,10,,
,,Alice,10,RejectOffer,
