alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,"Let's start with a fair split, we can negotiate from here",Alice,1,
,,,Bob,1,reject
3000.0,7000.0,"I'm willing to give you a smaller share, but I think this is a good starting point",Bob,2,
,,,Alice,2,reject
4500.0,5500.0,"Meeting you halfway, let's find a compromise",Alice,3,
,,,Bob,3,reject
2000.0,8000.0,"I'm willing to give you a slightly larger share, but I think this is a good compromise",Bob,4,
,,,Alice,4,reject
5500.0,4500.0,"Getting closer to a fair split, but I still want a bit more",Alice,5,
,,,Bob,5,reject
4000.0,6000.0,"I'm willing to give you a slightly larger share, but I think this is a good compromise",Bob,6,
,,,Alice,6,reject
5000.0,5000.0,"Let's meet exactly in the middle, no more negotiations",Alice,7,
,,,Bob,7,accept
