message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm excited to offer you this great product! I think you'll really love it. I'm willing to sell it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I'm interested, but $150 is a bit steep for me.  I'm willing to pay $110. Let me know what you think.",110.0,Bob,2,,
,,Alice,2,RejectOffer,135.0
"Thanks for your offer, Bob! I understand that $150 is a bit steep, but I'm willing to meet you in the middle. I can offer you the product for $135. What do you think?",135.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to compromise, but $135 is still a little more than I'm comfortable with. How about $125? That's a fair price for both of us.",125.0,Bob,4,,
,,Alice,4,RejectOffer,130.0
"I understand that $125 is still a bit of a stretch for you, Bob. I'm willing to make one more concession. I can offer you the product for $130. That's as low as I'm willing to go.",130.0,Alice,5,,
,,Bob,5,BuyFromJhon,
