message,product_price,player,round,decision,new_offer
I'm excited to offer you this great product! I'm willing to sell it to you for $150.,150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I appreciate the offer, Alice, but $150 is a bit steep for me. I'm willing to pay $85.  Let me know what you think.",85.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I understand you're looking for a good deal, Bob. I'm willing to meet you halfway, but I still need to make a profit. I can offer it to you for $125.",125.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to negotiate, but $125 is still a bit more than I'm comfortable spending.  How about $95?  That's a fair price for both of us.",95.0,Bob,4,,
,,Alice,4,RejectOffer,130.0
"I appreciate your persistence, Bob. I'm willing to compromise a bit further. I can offer it to you for $128, which is the lowest I'm willing to go.",128.0,Alice,5,,
,,Bob,5,BuyFromJhon,
