message,product_price,player,round,decision,counteroffer
"I'm excited to offer you this great product at a price of $120. It's a fantastic deal for you, and I'm confident you'll love it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I appreciate your enthusiasm for the product, but I was thinking more along the lines of $90. Would you be willing to meet me at that price?",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a good deal, but I have to make a profit. I'm willing to meet you halfway, but I need to get at least $110 for the product. Can you consider that?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I'm still a bit above my budget, but I'm willing to meet you at $100. Can you consider that?",100.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I'm glad we're close, but I still need to make a profit. I'm willing to go up to $115, but that's my final offer. Can you make it work?",115.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm really interested in the product, but $115 is still a bit too high for me. I'm willing to pay $105. Can you consider that?",105.0,Bob,6,,
,,Alice,6,RejectOffer,108.0
"I understand you're trying to get a good deal, but I've already compromised a lot. I'm willing to meet you at $108, but that's as low as I can go. It's a fair price, considering the product's value to you is $150",108.0,Alice,7,,
,,Bob,7,AcceptOffer,
