alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's be reasonable, I'll get a bit more but we both get something",Alice,1,
,,,Bob,1,reject
45.0,55.0,"Let's split fairly, I'll get a bit more this time",Bob,2,
,,,Alice,2,reject
58.0,42.0,"I'll lower my initial offer a bit, but I still think I deserve more",Alice,3,
,,,Bob,3,reject
48.0,52.0,"Come on, let's meet in the middle already",Bob,4,
,,,Alice,4,reject
56.0,44.0,"I'll meet you closer to the middle, but I'm not going below 56",Alice,5,
,,,Bob,5,reject
49.0,51.0,"I'm willing to compromise, but I won't go below half",Bob,6,
,,,Alice,6,accept
