message,product_price,player,round,decision,newOffer
"Hi Bob, I have a great product that I think you'll really like. I'm willing to sell it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer, but that's a bit too steep for me. Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,135.0
"I can do $130, but that's as low as I'm willing to go. It's a great product, and I think it's worth more than that.",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate that Alice, but I'm on a bit of a budget.  Could we meet in the middle at $115?",115.0,Bob,4,,
,,Alice,4,RejectOffer,125.0
"I'm getting close to my minimum price, but I'm still not willing to go that low. I can do $125, but that's as low as I can go.",125.0,Alice,5,,
,,Bob,5,BuyFromJhon,
