message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you a unique and valuable product. I think you'll really love it. Would you like to buy it from me for $120?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thank you for the offer. I appreciate the value of the product, but I was hoping to find a price closer to $80. What do you think?",80.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a good deal, Bob, but I'm not willing to go as low as $80. I'm willing to meet you in the middle at $105. What do you think?",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hello Alice, I appreciate your willingness to compromise. I would like to counter with an offer of $95. I hope this meets within your acceptable range.",95.0,Bob,4,,
,,Alice,4,RejectOffer,108.0
"I'm glad we're getting closer, Bob. I'm willing to meet you at $100, but I'd like to make a bit more to cover my costs. How about we meet at $107? It's the best I can do for now.",107.0,Alice,5,,
,,Bob,5,RejectOffer,
"Hello Alice, I appreciate your effort to reach a compromise. I would like to counter with an offer of $98. I hope this helps us move closer to a mutually beneficial agreement.",98.0,Bob,6,,
,,Alice,6,RejectOffer,110.0
"I'm not willing to go below $110, Bob. I think it's a fair price considering the value of the product. I'm willing to meet you at $110, but I'm not budging further. What do you think?",110.0,Alice,7,,
,,Bob,7,RejectOffer,
"Hello Alice, I understand your position and appreciate your efforts. I would like to counter with an offer of $105. This is the highest I can go while still staying within my budget.",105.0,Bob,8,,
,,Alice,8,RejectOffer,112.0
"I appreciate your honesty, Bob. I'm willing to meet you at $108, but I'm not willing to go any lower. It's the best I can do, and I think it's a fair price for the product. What do you think?",108.0,Alice,9,,
,,Bob,9,RejectOffer,
"Hello Alice, I've given this careful consideration and would like to counter with an offer of $106. I believe this brings us closer to a fair price for both of us.",106.0,Bob,10,,
,,Alice,10,RejectOffer,0.0
