message,product_price,player,round,decision,new_price
"Hi Bob, I'm excited to offer you this amazing product for sale. I think you'll really love it!",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm really interested in the product, but $150 is a bit steep for me. Would you be willing to consider a lower price?",120.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I understand you're interested in the product, but I have to make a living too. I can do $140, but that's as low as I can go.",140.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your flexibility, but $140 is still a bit above my budget. Would you be willing to consider a lower price?",130.0,Bob,4,,
,,Alice,4,RejectOffer,135.0
"I'm willing to meet you halfway, but I still need to make a profit. I can do $135, but that's my final offer",135.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm getting close to accepting, but I'm still a bit short. Would you be willing to meet me at $130?",130.0,Bob,6,,
,,Alice,6,RejectOffer,132.5
"I'm not willing to go all the way down to $130, but I can meet you in the middle of $130 and $135. How about $132.50?",132.5,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate your willingness to meet me in the middle, but I'm still a bit short. Would you be willing to meet me at $130?",130.0,Bob,8,,
,,Alice,8,RejectOffer,131.25
"I'm not willing to go all the way down to $130, but I can try to meet you a bit closer to that price. How about $131.25?",131.25,Alice,9,,
,,Bob,9,RejectOffer,
"I'm getting close to accepting, but I'm still a bit short. Would you be willing to meet me at $131?",131.0,Bob,10,,
,,Alice,10,RejectOffer,131.5
"I'm not willing to go all the way down to $131, but I can try to meet you a bit closer to that price. How about $131.50?",131.5,Alice,11,,
,,Bob,11,BuyFromJhon,
