alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,"Let's split fairly, I'll take a bit more",Alice,1,
,,,Bob,1,reject
4500.0,5500.0,I think we should get a more even split considering the inflation.  This seems fairer.,Bob,2,
,,,Alice,2,reject
5800.0,4200.0,"Considering inflation, I'm being generous, take it!",Alice,3,
,,,Bob,3,reject
4800.0,5200.0,"Alice, let's be realistic.  The longer this goes, the less we both get. This is a good deal for both of us.",Bob,4,
,,,Alice,4,reject
5600.0,4400.0,"I'm willing to compromise, but I still think I deserve a bit more",Alice,5,
,,,Bob,5,reject
5000.0,5000.0,"Alice, this is getting ridiculous.  We're losing money with every round. Let's just split it evenly and call it a day.",Bob,6,
,,,Alice,6,accept
