alice_gain,bob_gain,message,player,round,decision
5000.0,5000.0,"Let's split it evenly, a fair start to the game!",Alice,1,
,,,Bob,1,reject
3000.0,7000.0,"I'm being generous, but you can try to do better",Bob,2,
,,,Alice,2,reject
6000.0,4000.0,"A slight adjustment to my previous offer, let's see if you'll take it!",Alice,3,
,,,Bob,3,reject
4000.0,6000.0,"You're getting closer, but I'm still not satisfied",Bob,4,
,,,Alice,4,reject
5500.0,4500.0,"Getting closer to the middle, let's meet in the middle!",Alice,5,
,,,Bob,5,accept
