message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you this amazing product. I think you'll really love it. I'm willing to sell it to you for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thank you for the offer. I appreciate the product, but I was hoping to find something within my budget. Would you consider selling it for $150?",150.0,Bob,2,,
,,Alice,2,RejectOffer,165.0
"I appreciate your interest in the product, Bob! I can see that you're looking for a good deal. I'm willing to meet you halfway, but I need to make a profit. How about we discuss a price of $165?",165.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thank you for adjusting your offer, Alice. I understand the value of the product and appreciate your willingness to negotiate. Could we possibly agree on $155?",155.0,Bob,4,,
,,Alice,4,RejectOffer,160.0
"I'm glad we're close, Bob! I can see you're really interested in the product. I'm willing to make one more concession, but I need to make sure I'm not losing out. How about we meet at $160?",160.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your flexibility, Alice. Let's try $157. It's a bit closer to my budget while still allowing you to make a reasonable profit.",157.0,Bob,6,,
,,Alice,6,RejectOffer,162.0
"I think we're getting close, Bob! I'm willing to make one more concession, but I need to make sure I'm not leaving money on the table. How about we meet at $162?",162.0,Alice,7,,
,,Bob,7,RejectOffer,
"Thank you for considering my previous offers, Alice. I would like to propose $160 as the final price for the product.",160.0,Bob,8,,
,,Alice,8,RejectOffer,168.0
"I'm glad we're still in the negotiation, Bob! I'm not willing to go all the way back to the beginning, but I can try to meet you in the middle again. How about we meet at $168?",168.0,Alice,9,,
,,Bob,9,BuyFromJhon,
