message,product_price,player,round,decision,new_offer
I'm excited to offer you this great product! I think you'll really like it. Would you like to buy it from me for $120?,120.0,Alice,1,,
,,Bob,1,RejectOffer,
Thank you for offering the product. I appreciate your enthusiasm. I would like to propose a price of $100 for the product.,100.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking to get a good deal, but I was thinking more along the lines of $130. Would you be willing to meet me in the middle?",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to negotiate, but I still believe we can find a price closer to my budget. I am proposing $115 for the product.",115.0,Bob,4,,
,,Alice,4,RejectOffer,125.0
"I'm still open to finding a mutually beneficial price. I can do $125, but I'm not sure I can go any lower than that. What do you think?",125.0,Alice,5,,
,,Bob,5,AcceptOffer,
