alice_gain,bob_gain,player,round,decision
900000.0,100000.0,Alice,1,
,,Bob,1,reject
400000.0,600000.0,Bob,2,
,,Alice,2,reject
640000.0,360000.0,Alice,3,
,,Bob,3,reject
450000.0,550000.0,Bob,4,
,,Alice,4,reject
512000.0,488000.0,Alice,5,
,,Bob,5,reject
300000.0,700000.0,Bob,6,
,,Alice,6,reject
692000.0,308000.0,Alice,7,
,,Bob,7,reject
200000.0,800000.0,Bob,8,
,,Alice,8,reject
808000.0,192000.0,Alice,9,
,,Bob,9,reject
100000.0,900000.0,Bob,10,
,,Alice,10,reject
873000.0,127000.0,Alice,11,
,,Bob,11,reject
1000.0,999000.0,Bob,12,
,,Alice,12,reject
