round_quality,product_worth,player,round,decision,message,price
high-quality,40000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,no,"I'd like to pass on this one, I'll wait for the next product.",
high-quality,40000.0,Nature,2,,,
,,Alice,2,yes,,10000.0
,,Bob,2,yes,"I'll take a chance this time, I'll buy the product.",
high-quality,40000.0,Nature,3,,,
,,Alice,3,yes,,10000.0
,,Bob,3,yes,"I'm on a roll, I'll buy this one too!",
high-quality,40000.0,Nature,4,,,
,,Alice,4,yes,,10000.0
,,Bob,4,yes,"I'm feeling lucky, I'll buy this one too!",
high-quality,40000.0,Nature,5,,,
,,Alice,5,yes,,10000.0
,,Bob,5,yes,"I'm on a hot streak, I'll keep buying!",
high-quality,40000.0,Nature,6,,,
,,Alice,6,yes,,10000.0
,,Bob,6,yes,"I'm not stopping now, I'll keep buying!",
high-quality,40000.0,Nature,7,,,
,,Alice,7,yes,,10000.0
,,Bob,7,yes,"I'm feeling confident, I'll keep buying!",
high-quality,40000.0,Nature,8,,,
,,Alice,8,yes,,10000.0
,,Bob,8,yes,"I'm not getting cold feet, I'll keep buying!",
high-quality,40000.0,Nature,9,,,
,,Alice,9,yes,,10000.0
,,Bob,9,yes,"I'm on a roll, I'll keep buying!",
high-quality,40000.0,Nature,10,,,
,,Alice,10,yes,,10000.0
,,Bob,10,yes,"I'm not slowing down, I'll keep buying!",
high-quality,40000.0,Nature,11,,,
,,Alice,11,yes,,10000.0
,,Bob,11,yes,"I'm feeling like I'm getting a good deal, I'll keep buying!",
high-quality,40000.0,Nature,12,,,
,,Alice,12,yes,,10000.0
,,Bob,12,yes,"I'm not stopping now, I'll keep buying and see how many high-quality products I can get!",
high-quality,40000.0,Nature,13,,,
,,Alice,13,yes,,10000.0
,,Bob,13,yes,"I'm on a streak, I'll keep going!",
high-quality,40000.0,Nature,14,,,
,,Alice,14,yes,,10000.0
,,Bob,14,yes,"I'm feeling like I'm getting a great deal, I'll keep buying!",
high-quality,40000.0,Nature,15,,,
,,Alice,15,yes,,10000.0
,,Bob,15,yes,"I'm not stopping now, I'll keep buying and see how many more high-quality products I can get!",
high-quality,40000.0,Nature,16,,,
,,Alice,16,yes,,10000.0
,,Bob,16,yes,"I'm feeling like I'm in a high-quality product buying spree, I'll keep going!",
high-quality,40000.0,Nature,17,,,
,,Alice,17,yes,,10000.0
,,Bob,17,yes,"I'm not slowing down, I'll keep buying and see how many more high-quality products I can get!",
high-quality,40000.0,Nature,18,,,
,,Alice,18,yes,,10000.0
,,Bob,18,yes,"I'm on a roll, I'll keep buying and see how many more high-quality products I can get!",
low-quality,0.0,Nature,19,,,
,,Alice,19,no,,
,,Bob,19,no,"I'm not going to take the risk, I'll pass on this one.",
high-quality,40000.0,Nature,20,,,
,,Alice,20,yes,,10000.0
,,Bob,20,no,"I'm not going to take the risk, I'll pass on this one after the last low-quality product I got.",
