message,product_price,player,round,decision,new_offer
"Hi Bob, I have a great product that I think you'll really like. I'm willing to let you have it for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! That's a bit too high for my budget though.  Would you consider $110?",110.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand that $180 is a bit high for you, but I'm not willing to go as low as $110. I can meet you in the middle at $155. Would you consider that?",155.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, Alice. How about we settle at $130?",130.0,Bob,4,,
,,Alice,4,RejectOffer,145.0
"I'm still a bit above $130, but I'm willing to compromise. How about we meet at $142.50? It's a fair price for a great product like this.",142.5,Alice,5,,
,,Bob,5,RejectOffer,
"It seems like we are getting closer, Alice.  How about $135 and we have a deal?",135.0,Bob,6,,
,,Alice,6,RejectOffer,140.0
"I'm glad we're getting closer, but I'm not quite ready to meet at $135 yet. How about we try $139? It's a small step up from $135, but still a good compromise.",139.0,Alice,7,,
,,Bob,7,BuyFromJhon,
